ID_Estudiante,Universidad,Edad,Sexo,Semestre,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,A1_Interrupcion,A2_Desaprobados,A3_Retirados,A4,L2_Inactividad,Calidad_Percibida,Flag_Inconsistencia,Score_Critico,Score_Tecnico,Score_Participativo,Score_AMI_Global,Riesgo_Total,BC1,BC2,BC3,BC4,BT1,BT2,BT3,BT4,BP1,BP2,BP3,BP4,Sentimiento_Academico,Indice_Coherencia,Etiquetas_Tematicas,Analisis_Cuali,Cluster_Jerarquico,Cluster_KMeans,Cluster_DBSCAN,Cluster_GMM
STU_0001,UNMSM,21,Femenino,5to,3,3,3,3,3,4,3,3,3,3,3,2,3,4,3,3,3,3,3,3,2,1,3,2,2,3,2,2,2,3,Sí,En dos o más cursos,"Sí, en más de una ocasión",1,Frecuentemente,1,False,3.1,3.0,2.2,2.7666666666666666,1,"Trato de buscar en Google Académico o Scielo para asegurar que el autor sea alguien conocido. Me fijo si tienen referencias bibliográficas, aunque a veces me dejo llevar por lo primero que sale si me gana el tiempo.",La principal dificultad es que hay demasiada información y me cuesta distinguir qué es actual y qué no. A veces los artículos son muy complejos y termino perdiendo mucho tiempo tratando de entender si me sirven o no.,"Sí influye, porque cuando no logro analizar bien la información mis notas bajan y eso me desmotiva totalmente. Me hace cuestionar si realmente tengo la capacidad para seguir con la carrera o si mejor debería dejarlo.","Me siento más seguro usando la biblioteca virtual de la U porque sé que es confiable. Me da mucha inseguridad cuando busco temas en blogs o noticias de redes sociales, siento que me pueden estar engañando con datos falsos.","Mi experiencia ha sido regular; sé usar el Canvas y el Meet para lo básico, pero a veces las plataformas se ponen lentas o son confusas. Siento que cumplo con lo justo para no quedarme atrás en las clases.","Sí, he tenido varios problemas con el internet y con mi laptop que es un poco antigua. Lo resolví pidiendo datos prestados o yendo a una cabina de internet, pero ese estrés de que algo falle me quita las ganas de seguir.",Mis habilidades son básicas y creo que eso me ha dificultado las cosas. Siento que si supiera manejar mejor las herramientas digitales no me estresaría tanto y tendría más ganas de continuar estudiando este ciclo.,Creo que faltó más capacitación práctica desde el inicio. Me hubiera ayudado mucho tener talleres de herramientas de organización digital y que los profes sean más comprensivos cuando el sistema falla al subir una tarea.,Ha sido una experiencia bastante fría. Los foros se sienten como una obligación y en los trabajos grupales casi no hablo; prefiero que me digan qué hacer y yo lo envío por WhatsApp sin interactuar mucho.,"Me siento muy aislado. Casi no conozco a mis compañeros y la relación con los docentes es mínima, solo a través de la pantalla. Esa soledad en el estudio es lo que más me hace pensar en dejar la universidad.","Influye mucho; la falta de conexión con otros me quita la motivación. Si tuviera un grupo de amigos para estudiar o profes más cercanos, probablemente no estaría considerando retirarme de algunos cursos ahora mismo.","Mi baja participación ha hecho que no me sienta parte de la universidad. Como casi no interactúo, veo los cursos como simples tareas que completar y no como parte de mi formación profesional, lo que reduce mi compromiso.",0.2,0.95,"Riesgo de deserción, Aislamiento socio-virtual, Brecha digital técnica","La coherencia es muy alta, ya que los puntajes cuantitativos medios-bajos reflejan con precisión el estado de 'supervivencia' que el estudiante describe en sus respuestas abiertas. Existe una alineación total entre el bajo puntaje en la dimensión participativa (2.2) y su relato de aislamiento y falta de pertenencia, mientras que el nivel de riesgo 'Alto' se justifica cualitativamente mediante sus constantes alusiones al deseo de abandonar la carrera debido al estrés tecnológico y la falta de redes de apoyo.",0,0,2,2
STU_0002,UNFV,19,Femenino,7mo,3,4,3,3,4,3,3,2,3,2,2,2,2,2,2,2,2,2,2,1,3,3,2,2,2,3,2,2,3,3,Sí,En dos o más cursos,"Sí, en más de una ocasión",1,Frecuentemente,3,False,3.0,1.9,2.5,2.466666666666667,1,"Trato de fijarme si la página se ve seria o si citan fuentes, pero a veces por el apuro del ciclo solo uso lo primero que sale en Google Académico sin profundizar mucho.",Me abruma que haya demasiada información y no siempre sé distinguir un blog de opinión de un artículo científico real. A veces termino usando datos que el profe luego me observa.,"Sí, porque cuando no entiendo lo que busco o no encuentro info confiable me frustro rápido. Esa inseguridad me hace dudar de si realmente tengo la base para seguir con la carrera.","Me siento seguro cuando el docente nos da los links directos, pero me genera mucha ansiedad buscar por mi cuenta en bases de datos complejas que no sé manejar bien.",Es bastante difícil para mí. Me pierdo en el menú del aula virtual y me estresa mucho no encontrar dónde subir las tareas o cómo entrar a las videoconferencias.,"Sí, mi laptop es lenta y a veces la plataforma se cierra sola. No sé cómo arreglarlo y termino pidiendo ayuda por WhatsApp a mis compañeros para que me orienten.","Me ha dificultado todo. Siento que mi falta de dominio tecnológico es una barrera que me desanima a seguir, porque pierdo más tiempo peleando con la plataforma que estudiando.","Me servirían talleres básicos de computación y de manejo de las plataformas de la universidad, porque asumen que todos ya sabemos usar estas herramientas y no es así.","Participo lo mínimo necesario en los foros para que no me bajen puntos. En los trabajos grupales trato de ayudar, pero a veces me cuesta coordinar por entornos virtuales.","Me siento muy aislado. Al no dominar bien las herramientas, siento que estoy solo frente a la laptop y que no hay una conexión real con mis compañeros o el profesor.","Influye bastante, pero como casi no hablo con nadie, mi motivación es baja. Si tuviera más interacción o amigos en los cursos virtuales, quizás no pensaría tanto en dejar de estudiar.",Mi baja participación hace que no me sienta parte de la universidad. Siento que solo estoy cumpliendo tareas por cumplir y eso debilita mi compromiso de terminar mi carrera.,0.15,1.0,"Brecha de competencias digitales, Frustración y ansiedad académica, Aislamiento en entornos virtuales","La coherencia es total, ya que las bajas puntuaciones cuantitativas en las dimensiones técnica (1.9) y participativa (2.5) se reflejan con precisión en testimonios que describen estrés extremo ante el aula virtual y un profundo sentimiento de aislamiento social. El estudiante es autocrítico y honesto al admitir que su nivel crítico (3.0) se ve mermado por la ansiedad, y su declaración de estar considerando dejar la carrera justifica plenamente la calificación de riesgo ALTO, mostrando una alineación perfecta entre su autopercepción numérica y su realidad emocional.",0,2,-1,2
STU_0003,UNI,25,Masculino,5to,2,3,1,3,2,3,3,3,2,2,2,3,1,3,3,2,2,3,2,2,2,2,1,2,2,2,3,3,2,1,Sí,En un curso,"Sí, en un curso",2,Algunas veces,5,False,2.4,2.3,2.0,2.2333333333333334,1,"Normalmente me guío por lo primero que sale en Google o Wikipedia. Si el texto se ve serio y tiene autor lo uso, pero me cuesta diferenciar si una fuente es realmente académica o no.","Me confundo con tanta información y no sé distinguir qué páginas son de confianza. A veces uso blogs porque explican más fácil, pero los profes me dicen que no tienen validez.","Sí, porque me desmotiva pasar horas buscando y que al final me digan que mi información no sirve. Siento que no tengo el nivel para investigar y eso me hace querer dejar los cursos.",Me siento más seguro en páginas conocidas como diarios o blogs comunes. Me genera mucha inseguridad entrar a las bases de datos de la u porque son complicadas de usar y entender.,La verdad es un poco estresante. No entiendo bien todas las funciones del Canvas y a veces me pierdo buscando dónde subir las tareas o dónde están las grabaciones.,"He tenido problemas con mi internet y con la plataforma que se cuelga. No sé cómo solucionarlo rápido, así que a veces mando las cosas tarde y me baja la nota.","Me ha dificultado bastante. Como no manejo bien las herramientas digitales, me demoro el doble que mis compañeros y eso me cansa, dándome ganas de salirme de la carrera.",Creo que faltan talleres más simples desde cero para usar las plataformas y que los profes nos tengan más paciencia cuando la tecnología nos falla.,"Casi no participo a menos que sea obligatorio. Los foros me parecen aburridos y en los grupos casi nadie se pone de acuerdo, es un poco pesado coordinar así.","Me siento bastante solo. Siento que soy solo un código más en la lista y que a nadie le importa mucho si entiendo o no, lo que me quita las ganas de seguir.","Influye mucho. Como casi no hablo con mis compañeros ni con el profe, no siento ese empuje para continuar cuando el ciclo se pone difícil o me va mal en los exámenes.",Mi participación es mínima y eso ha hecho que no me sienta parte de la universidad. Mi compromiso ha bajado tanto que estoy evaluando si vale la pena seguir el próximo ciclo.,0.15,1.0,"Inseguridad informacional, Brecha de competencias digitales, Riesgo de deserción","La coherencia es total, ya que los bajos puntajes cuantitativos (entre 2.0 y 2.4) se reflejan con precisión en los testimonios de frustración, dificultad técnica y aislamiento social. El estudiante reconoce explícitamente sus limitaciones para evaluar fuentes, su lentitud en el manejo de plataformas como Canvas y una desconexión emocional con la universidad, lo cual valida plenamente la calificación de Riesgo ALTO y su baja autopercepción de competencias en Alfabetización Mediática e Informacional.",2,2,0,1
STU_0004,UNI,22,Femenino,8vo,3,4,3,4,2,4,3,4,3,4,4,4,4,3,2,3,4,3,3,3,4,3,3,3,3,3,2,3,3,3,No,Nunca,No,4,Nunca,4,False,3.4,3.3,3.0,3.2333333333333334,0,"Suelo fijarme en la fuente, que sea de sitios como Redalyc o Scielo, y reviso si tiene autor y fecha reciente. No me fío de lo primero que sale en Google, trato de contrastar al menos dos fuentes.",A veces me cuesta diferenciar si un blog es de un experto o solo una opinión personal. También me confunde cuando encuentro información contradictoria en páginas que parecen serias.,"Sí influye, porque si no sé filtrar bien, me frustro con las tareas y saco bajas notas. Pero nunca he pensado en dejar la carrera por eso; más bien trato de aprender a buscar mejor para no quedarme atrás.",Me siento más seguro cuando el profesor nos da una lista de bibliografía confiable. Me da inseguridad cuando tengo que investigar temas muy nuevos donde abundan las noticias falsas o información sin autor claro.,"Mi experiencia es regular, manejo bien el Canvas y el Zoom porque ya me acostumbré. No soy un experto, pero me defiendo con lo necesario para subir mis tareas y participar en las clases.","Sí, a veces el internet se pone lento o la plataforma se satura en los exámenes. Lo soluciono reiniciando el router o avisando de inmediato al delegado para que el profe esté al tanto del problema.","Mis habilidades me han ayudado a mantenerme, porque si no supiera lo básico ya hubiera tirado la toalla. Aunque a veces me demoro más de la cuenta configurando algunos programas específicos de mi carrera.",Creo que faltan más talleres prácticos sobre herramientas de edición o análisis de datos. A veces dan por hecho que todos sabemos usar todo y solo nos dan una guía rápida en PDF.,"Normal, participo lo justo en los foros porque a veces se sienten un poco mecánicos. En trabajos grupales sí trato de estar presente, aunque por chat de WhatsApp coordinamos mejor que en la plataforma.","A ratos me siento un poco aislado porque falta el contacto real con los compañeros de clase. Me ayuda mucho tener mi grupo de WhatsApp, eso me hace sentir que no estoy solo en esto.","Claro, si tengo un buen grupo me dan más ganas de entrar a clase y participar. La buena onda con los docentes también ayuda a no desanimarse cuando el ciclo se pone pesado.","Trato de estar conectado y cumplir con mis entregas para no perder el hilo. Mi compromiso es alto porque quiero terminar mi carrera, así que busco la forma de participar aunque a veces me de un poco de flojera.",0.72,1.0,"Verificación de fuentes, Resiliencia académica, Socialización mediada","Existe una coherencia total entre los puntajes cuantitativos y el discurso del estudiante; sus calificaciones de nivel medio-alto (3.0-3.4) reflejan con precisión a un usuario que posee habilidades críticas y técnicas funcionales (uso de Redalyc, manejo de Canvas) pero que admite honestamente sus limitaciones, como la dificultad para discernir opiniones de expertos o la frustración técnica. Su nivel de participación moderado coincide con su descripción de cumplir con lo justo en foros mientras prioriza el apoyo social por WhatsApp, mostrando un perfil resiliente y comprometido con su carrera a pesar de las barreras percibidas.",1,0,3,2
STU_0005,UNMSM,16,Femenino,5to,4,3,3,2,3,4,4,3,4,3,3,3,3,2,2,2,2,2,2,2,3,1,3,2,3,2,2,2,2,2,No,En un curso,"Sí, en más de una ocasión",2,Algunas veces,3,False,3.3,2.3,2.2,2.6,1,"Trato de ver si el autor es conocido o si es una página de alguna universidad, pero a veces por el tiempo termino usando lo primero que sale en Google Scholar.",Me cuesta distinguir qué fuente es más actual o relevante entre tantos resultados; a veces me confundo y termino usando información que no era tan precisa para el curso.,"Siento que me falta análisis y eso me frustra. Si no entiendo bien lo que leo, me desmotivo y me dan ganas de dejar el curso porque siento que no estoy aprendiendo nada.",Me siento más seguro cuando el profe nos da los links directos. Me da mucha inseguridad buscar por mi cuenta y no saber si lo que cito está bien o es puro 'chamullo'.,La verdad ha sido bien pesado. No me llevo muy bien con la tecnología y a veces la plataforma se me hace súper complicada de navegar para subir mis tareas.,"Sí, varias veces se me ha colgado el internet o la página no cargaba. Casi siempre termino pidiendo ayuda a un amigo por WhatsApp porque no sé cómo arreglarlo solo.","Me ha dificultado bastante. Como no domino mucho las herramientas digitales, me demoro el doble y eso me quita las ganas de seguir matriculándome en cursos virtuales.","Creo que me hubiera servido más capacitación desde cero sobre cómo usar el Blackboard o el Canvas, y que los profes sean más comprensivos cuando la tecnología falla.",Casi no participo en foros porque me da roche y los trabajos grupales son un caos por Zoom. Nadie se pone de acuerdo y al final termino sintiéndome perdido.,Me siento bastante solo. Siento que solo soy un código más frente a la pantalla y que a nadie le importa mucho si entiendo o no las clases.,"Influye un montón. Como no hablo con casi nadie, no tengo ese impulso de 'vamos a estudiar'. Sin amigos en la carrera, se me hace bien difícil querer continuar.","Como casi no interactúo, me siento súper desconectado de la carrera. Mi falta de participación hace que cada vez me interese menos entrar a las clases y eso me preocupa.",0.15,0.95,"Brecha digital técnica, Aislamiento social, Inseguridad informacional","Existe una coherencia muy alta entre los datos cuantitativos y cualitativos, ya que los bajos puntajes en las dimensiones técnica y participativa se reflejan fielmente en la frustración por no dominar las plataformas y el sentimiento de aislamiento social expresado. El nivel de riesgo 'ALTO' está plenamente justificado por las menciones recurrentes al deseo de abandonar los estudios y la desvinculación emocional con la carrera, mientras que su puntaje crítico moderado (3.3) coincide con el hecho de que el estudiante intenta realizar procesos de validación (como usar Google Scholar), aunque se siente superado por la falta de competencias de análisis.",0,0,-1,2
STU_0006,UNMSM,21,Femenino,6to,2,3,3,2,3,3,2,3,2,3,3,3,2,4,3,3,2,2,4,4,2,3,3,3,3,3,4,3,3,3,No,En un curso,"Sí, en un curso",2,Algunas veces,3,False,2.6,3.0,3.0,2.8666666666666667,1,"La verdad me guío por los primeros resultados de Google o si la página parece seria. No me fijo mucho en quién lo escribe, solo que me sirva para completar rápido la tarea.",A veces hay demasiada información y no sé cuál es la verdadera. Me confundo cuando dos páginas dicen cosas distintas y termino usando la que es más fácil de leer.,Me cuesta mucho analizar textos largos y eso me frustra. Siento que no estoy aprendiendo bien y varias veces he pensado que sería mejor dejar el ciclo y trabajar.,"Me siento seguro buscando en Wikipedia porque es simple, pero cuando los profes piden artículos científicos me pierdo totalmente y me da inseguridad no entender nada.","Es una experiencia regular, a veces las plataformas se cuelgan o son confusas. Uso el Canvas y el Zoom porque no queda de otra, pero no me encantan.","Sí, mi internet a veces falla en medio de los exámenes y es un estrés total. Lo resuelvo usando mis datos del cel, pero me desanima mucho que pase eso.","Sé lo básico, pero cuando piden usar herramientas nuevas me complico. Esa dificultad técnica me hace sentir que la modalidad virtual no es para mí y que pierdo el tiempo.","Creo que faltan más talleres prácticos y que los profes sean más comprensivos cuando la tecnología falla, porque uno se siente solo cuando algo no carga.",Los trabajos grupales son complicados porque casi nadie contesta por WhatsApp. A veces termino haciendo todo yo o simplemente me desentiendo si veo que el grupo no avanza.,Me siento bastante aislado; estar frente a la pantalla todo el día cansa y no se siente como estar en la universidad de verdad. Falta más conexión real.,"Influye bastante, si el profe no motiva o los compañeros no participan, me dan ganas de cerrar la laptop y no volver a conectarme a ninguna clase.","Solo participo lo justo y necesario para que no me bajen puntos. No siento un compromiso real con la carrera ahora mismo, lo veo más como una carga pesada.",0.15,0.95,"Riesgo de deserción, Baja autoeficacia digital, Aislamiento social","La coherencia es muy alta, ya que las puntuaciones cuantitativas de rango bajo y medio reflejan con precisión la profunda frustración, el desinterés y las dificultades técnicas expresadas en las respuestas abiertas. El estudiante muestra una alineación total entre su percepción de competencia limitada (especialmente en el área crítica) y su estado emocional negativo, validando plenamente la etiqueta de riesgo alto mediante menciones explícitas al deseo de abandonar los estudios y la sensación de que la modalidad virtual es una carga pesada.",0,0,-1,2
STU_0008,UNFV,22,Masculino,7mo,2,2,2,3,2,2,2,2,2,3,3,3,4,3,4,3,2,3,4,3,3,3,3,3,2,3,3,3,3,3,Sí,En dos o más cursos,"Sí, en más de una ocasión",2,Frecuentemente,2,False,2.2,3.2,2.9,2.7666666666666666,1,"La verdad, suelo usar lo primero que sale en Google o Wikipedia porque es más rápido. No me fijo mucho en quién escribe la nota, solo trato de que el texto se vea serio y que me sirva para completar la tarea rápido.","Me confundo mucho cuando hay demasiadas páginas que dicen cosas diferentes. Me cuesta darme cuenta si una fuente es confiable o si es pura publicidad, y al final termino usando cualquier link por la presión del tiempo.","Sí, me frustra no saber buscar bien y sacar bajas notas en los trabajos de investigación. Siento que no entiendo cómo validar la información y eso me desanima tanto que a veces prefiero ya no entrar a las clases.","Me siento seguro buscando videos tutoriales en YouTube, pero me siento súper perdido e inseguro cuando los profes piden usar bases de datos científicas; ahí siento que no sé qué estoy haciendo.","Manejo bien el Canvas y el Zoom porque son intuitivos, no es que sea un experto pero me defiendo. Lo malo es que a veces me cansa estar tanto tiempo frente a la pantalla y la plataforma se me hace pesada.",He tenido problemas cuando mi internet se pone lento en los exámenes o cuando el archivo no sube. Lo soluciono reiniciando el módem o pidiendo ayuda a mis compañeros por el grupo de WhatsApp para que me orienten.,"Sé usar lo básico, pero no creo que mis habilidades tecnológicas me ayuden a querer quedarme. Aunque sepa manejar los programas, la falta de contacto físico me hace dudar de si quiero seguir estudiando así.","Me gustaría que los profes enseñen más sobre programas específicos de la carrera y no solo a subir tareas. También que el soporte técnico sea más rápido, porque cuando algo falla uno se siente solo y estresado.","En los foros participo solo por la nota, escribo lo mínimo para cumplir. En los grupos casi siempre me quedo callado y solo hago mi parte, no siento que haya una conexión real con los demás.","Me siento bastante solo y aislado la mayor parte del tiempo. Siento que solo soy un nombre más en la pantalla y que a los docentes no les importa mucho si aprendo o no, lo que me quita las ganas de seguir.","Influye un montón; como casi no hablo con mis compañeros ni con los profes, no me siento motivado. Esa falta de relación hace que ir a la universidad virtual se sienta como una carga pesada que quiero dejar.","Como participo poco, mi compromiso con la carrera ha bajado bastante este ciclo. Siento que no pertenezco a la comunidad universitaria y por eso me he descuidado mucho con las entregas y las lecturas.",0.15,1.0,"Desconexión emocional, Frustración investigativa, Riesgo de deserción","La coherencia es total, ya que los bajos puntajes en la dimensión crítica y participativa se reflejan explícitamente en el relato de inseguridad al validar fuentes y el sentimiento de aislamiento social. El estudiante es honesto al admitir que su manejo técnico es apenas funcional (3.2) y su falta de vinculación con la comunidad universitaria valida el nivel de riesgo alto, manifestando un deseo recurrente de abandonar los estudios debido a la frustración y la soledad.",2,0,-1,2
STU_0009,UNI,19,Masculino,7mo,3,2,2,2,3,2,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,3,2,3,3,3,2,2,4,Sí,En dos o más cursos,"Sí, en más de una ocasión",1,Frecuentemente,3,False,2.3,3.0,2.9,2.7333333333333334,1,"Normalmente me guío por los primeros resultados de Google o Wikipedia. Si el diseño se ve formal y tiene lo que busco para la tarea, lo uso sin revisar mucho quién lo escribió.",Me cuesta saber qué fuente es mejor que otra porque hay demasiada información parecida. A veces me genera dudas si lo que pongo es cierto y eso me quita tiempo y me estresa.,"Sí, me siento inseguro con mis trabajos porque no sé si analizo bien las fuentes. Esa duda constante sobre si lo que hago está bien me ha hecho pensar en dejar algunos cursos.",Me siento seguro en blogs sencillos o YouTube porque explican fácil. Pero cuando entro a las bases de datos de la universidad me siento perdido y prefiero salirme de ahí.,"Es una experiencia regular. Uso el Canvas para lo básico, como bajar archivos o subir mis tareas, pero no exploro más allá porque no lo entiendo del todo.","Sí, mi conexión a veces falla o la plataforma se cierra cuando rindo prácticas. Intento usar mis datos del celular, pero ese estrés técnico me quita las ganas de seguir estudiando.","Me manejo lo justo, pero cuando algo falla me frustro rápido. Siento que no tener un dominio técnico alto me pone en desventaja y me desmotiva para continuar el próximo ciclo.",Creo que faltan talleres más prácticos y directos sobre las herramientas que usamos. A veces dan por hecho que sabemos todo y eso hace que la modalidad virtual sea pesada.,"Participo lo mínimo necesario para no perder puntos. En los grupos de WhatsApp a veces coordinamos, pero no siento que sea un trabajo en equipo real, es más por cumplir.",Me siento bastante solo frente a la laptop. No hay ese compañerismo de las clases presenciales y eso hace que me sienta desconectado de la vida universitaria.,"Influye bastante, porque al no tener una relación fluida con los profes o amigos, me da igual si asisto o no. Esa falta de presión social me hace querer tirar la toalla.","Mi participación es bien baja y eso hace que no me sienta parte de la carrera. Como no me involucro mucho, me siento cada vez menos comprometido con terminar mis estudios.",0.15,0.95,"Riesgo de deserción, Frustración tecnopedagógica, Aislamiento digital","Existe una coherencia muy alta entre los datos cuantitativos y cualitativos, ya que las puntuaciones bajas en pensamiento crítico (2.3) y participación (2.9) se reflejan fielmente en testimonios de inseguridad informacional y aislamiento social. El estudiante valida el nivel de riesgo 'ALTO' mediante un discurso de frustración constante, donde sus limitaciones en alfabetización mediática están impactando directamente en su salud mental y en su persistencia académica, manifestando un deseo explícito de abandonar la carrera por no sentirse competente ni integrado en la modalidad virtual.",2,0,-1,2
STU_0010,UNI,20,Masculino,8vo,3,3,4,4,4,4,3,3,3,3,3,1,2,3,1,3,1,2,2,2,3,2,3,3,2,4,2,3,3,3,No,En un curso,"Sí, en un curso",2,Frecuentemente,3,False,3.4,2.0,2.8,2.7333333333333334,1,"Trato de fijarme si la página es de alguna institución o si el autor tiene nombre, pero a veces me gana el tiempo y me confundo con tanta información que sale en Google.",Me cuesta distinguir cuando un artículo es de opinión o científico. A veces pierdo horas buscando y termino usando fuentes que no sé si son del todo válidas por puro cansancio.,"Sí influye, porque cuando no entiendo cómo validar la información me desmotivo y siento que mis trabajos no tienen nivel, lo que me ha hecho pensar en dejar algunos cursos este ciclo.","Me siento más seguro cuando el profe nos da los links directos, pero cuando me toca investigar por mi cuenta me da mucha inseguridad jalar por usar fuentes que no sirven.",Ha sido una experiencia bastante frustrante. Se me complica mucho navegar en el Canvas y a veces no encuentro ni dónde están colgadas las lecturas o las grabaciones de clase.,A cada rato tengo problemas; se me cierra el Zoom o no puedo subir los archivos pesados. Casi nunca sé cómo arreglarlo y termino enviando correos a última hora rogando que me acepten la tarea.,Siento que me han dificultado todo. Mi falta de manejo técnico hace que me demore el doble que el resto y eso me quita las ganas de seguir matriculándome en la modalidad virtual.,Me gustaría que nos den talleres paso a paso desde cero. A veces los profesores asumen que todos somos expertos en computación y yo me quedo atrás sin saber qué hacer.,"La verdad es que no me gusta mucho. En los grupos virtuales casi no hablamos y en los foros solo respondo por cumplir con la nota, pero no siento que aprenda de los demás.","Me siento bien solo la mayor parte del tiempo. Siento que estoy frente a una pared y que no hay una conexión real con mis compañeros, lo que hace que me distraiga fácil.","Claro, la falta de contacto con la gente me quita la motivación. Si tuviera amigos con quienes estudiar por Zoom quizás sería distinto, pero así como estoy, me dan ganas de retirarme.","Como casi no participo, no me siento parte de la universidad. Mi compromiso es bajo porque no tengo ese sentido de comunidad y siento que mi carrera se está volviendo pura entrega de papeles.",0.15,0.95,"Deserción académica, Brecha digital, Sobrecarga informativa","Existe una coherencia muy alta entre los puntajes y el testimonio; el estudiante refleja con precisión su bajo dominio técnico (2.0) y su estado de vulnerabilidad académica. La narrativa cualitativa valida el nivel de 'Riesgo ALTO' al mencionar explícitamente el deseo de abandonar los estudios debido a la frustración tecnológica, la fatiga informativa y el aislamiento social, demostrando que sus dificultades operativas en el entorno virtual están erosionando directamente su compromiso y motivación institucional.",0,0,-1,2
STU_0011,UNMSM,22,Masculino,7mo,2,2,2,3,2,2,3,2,1,2,3,4,2,3,3,4,3,3,3,3,3,3,3,3,3,2,3,4,3,3,No,En un curso,"Sí, en un curso",3,Rara vez,3,False,2.1,3.1,3.0,2.7333333333333334,1,"Normalmente uso lo primero que sale en Google o Wikipedia porque es más rápido. No me fijo mucho en quién escribe el artículo, con tal que se vea serio y me sirva para la tarea.","Me es difícil diferenciar si una página es confiable o no, a veces todo me parece igual. Me confunde cuando encuentro información contradictoria y no sé a quién creerle.","Sí, me frustra no saber investigar bien y eso me baja el promedio. Ver que otros avanzan y yo me trabo buscando info me hace pensar que tal vez la universidad no es para mí.","Me siento seguro cuando el profe nos da los PDF directos. Pero si tengo que buscar por mi cuenta en bases de datos raras, me siento súper perdido e inseguro de lo que encuentro.","Me defiendo con el Canvas y el Zoom, pero no me gusta pasar tanto tiempo frente a la pantalla. Sé subir mis archivos y participar, pero a veces la plataforma me parece un poco enredada.","Sí, a veces mi internet falla o mi laptop se cuelga en plena evaluación. Normalmente le aviso al delegado por WhatsApp para que le diga al profe, pero me estresa mucho que pase eso.","Mis habilidades son básicas y eso me ha dificultado las cosas. A veces piden programas que no sé usar y me tardo horas aprendiendo, lo que me desanima a seguir con el ciclo.",Creo que faltan más talleres prácticos y simples sobre cómo usar las herramientas de la u. A veces los profes dan por hecho que somos expertos en tecnología y no es así.,"En los grupos trato de cumplir con mi parte, pero casi no hablo en los foros. Siento que la comunicación por chat es fría y me cuesta conectar con mis compañeros de verdad.",Me siento bastante solo. Casi no conozco a nadie de mi código y estar encerrado en mi cuarto recibiendo clases me hace sentir desconectado de la vida universitaria.,"Influye mucho. Como casi no interactúo con nadie, no tengo esa motivación de 'ir a clase' para ver a mis amigos, y eso hace que me den ganas de dejar los estudios.",Solo participo lo mínimo para no jalar. Esa falta de compromiso hace que no me sienta parte de la carrera y que cada vez tenga menos ganas de sentarme a estudiar.,0.15,0.95,"Riesgo de deserción, Pobreza informacional, Aislamiento socio-digital","Existe una coherencia muy alta entre los datos declarados y las descripciones cualitativas: el bajo puntaje crítico (2.1) se refleja en su dependencia de Wikipedia y Google; su nivel técnico medio (3.1) coincide con el uso de herramientas básicas pero dificultad ante nuevos software; y su nivel participativo (3.0), aunque marcado como neutral, se explica en el texto como un cumplimiento mínimo por compromiso académico sin conexión real. El 'Riesgo Alto' es totalmente consistente con la frustración emocional y el deseo expreso de abandonar los estudios que manifiesta el estudiante en sus respuestas abiertas.",2,0,-1,2
