ID_Estudiante,Universidad,Score_Critico,Score_Tecnico,Score_Participativo,Score_AMI_Global,Nivel_Critico,Nivel_Tecnico,Nivel_Participativo,Nivel_AMI_Global,Riesgo_Total,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,Score_Riesgo_Academico,Score_Riesgo_LMS,Riesgo_Acad_Perceptual,Riesgo_Documental
STU_0001,UNMSM,3.6,4.0,3.4,3.6666666666666665,Medio,Alto,Medio,Medio,1,4,4,4,4,4,4,4,2,4,2,4,4,4,4,4,4,4,4,4,4,2,2,4,4,4,2,4,4,4,4,3.5,4.0,4.0,4.0
STU_0003,UNI,3.1,3.7,3.1,3.3000000000000003,Bajo,Alto,Bajo,Bajo,1,3,4,3,3,4,3,3,3,3,2,4,4,4,4,3,4,4,3,3,4,3,4,3,3,3,3,3,3,3,3,3.125,3.125,3.25,3.125
STU_0006,UNI,3.4,3.3,3.3,3.3333333333333335,Bajo,Bajo,Medio,Bajo,1,2,4,4,5,4,2,4,3,3,3,2,4,4,3,3,4,4,2,4,3,2,4,4,4,4,4,4,2,3,2,3.875,2.875,3.75,2.875
STU_0008,UNI,3.4,2.8,3.1,3.0999999999999996,Bajo,Bajo,Bajo,Bajo,0,3,3,3,5,3,4,3,4,3,3,2,2,2,3,3,4,3,3,3,3,3,3,3,4,3,3,3,3,3,3,2.25,3.0,3.0,3.0
STU_0009,UNI,3.7,3.6,4.0,3.766666666666667,Medio,Medio,Alto,Alto,1,3,3,4,4,3,3,5,3,4,5,3,4,5,4,3,4,4,4,2,3,4,4,5,3,3,3,5,5,5,3,3.625,3.375,4.25,3.375
STU_0010,UNI,3.7,4.0,4.0,3.9,Medio,Alto,Alto,Alto,0,3,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,2.0,2.0,2.0
STU_0011,UNMSM,3.8,3.8,4.0,3.8666666666666667,Medio,Alto,Alto,Alto,0,4,4,4,4,4,2,4,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,1.75,2.0,2.0,2.0
STU_0012,UNI,3.4,3.5,3.6,3.5,Bajo,Medio,Medio,Medio,1,3,2,4,5,5,2,3,4,4,2,4,4,4,4,3,3,2,2,5,4,3,4,4,4,4,3,3,4,4,3,2.375,2.375,2.75,2.375
STU_0016,UNI,3.5,4.1,3.9,3.8333333333333335,Bajo,Alto,Alto,Alto,0,2,4,2,5,4,2,4,4,4,4,4,4,5,4,4,5,4,2,4,5,2,4,2,5,4,5,5,4,4,4,1.75,3.25,2.5,3.25
STU_0017,UNMSM,4.3,4.6,4.3,4.3999999999999995,Alto,Alto,Alto,Alto,0,4,5,5,5,5,3,2,4,5,5,5,5,5,3,4,5,5,4,5,5,4,5,5,5,5,4,2,4,5,4,1.0,2.125,1.0,2.125
STU_0019,UNMSM,3.9,3.0,3.8,3.5666666666666664,Alto,Bajo,Medio,Medio,0,3,5,4,5,5,4,3,3,4,3,3,3,2,5,4,3,2,3,2,3,3,5,5,5,5,2,3,3,4,3,1.75,1.5,2.0,1.5
STU_0020,UNMSM,3.6,3.9,3.6,3.6999999999999997,Medio,Alto,Medio,Medio,0,4,4,4,4,4,4,2,4,4,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,4,4,4,1.5,2.5,2.0,2.5
STU_0021,UNMSM,3.4,4.0,4.0,3.8000000000000003,Bajo,Alto,Alto,Alto,1,4,4,4,3,3,2,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.125,2.75,3.25,2.75
STU_0023,UNMSM,3.6,3.7,3.9,3.733333333333334,Medio,Alto,Alto,Alto,1,4,4,4,3,4,4,3,3,4,3,3,4,4,4,3,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,2.25,2.0,2.0,2.0
STU_0024,UNI,4.0,4.1,3.7,3.9333333333333336,Alto,Alto,Medio,Alto,0,5,5,4,3,4,5,3,3,5,3,5,5,4,4,4,4,4,3,4,4,4,3,4,4,5,3,4,3,3,4,1.625,1.625,2.25,1.625
STU_0025,UNMSM,3.8,4.3,3.5,3.8666666666666667,Medio,Alto,Medio,Alto,0,4,4,5,4,3,2,5,3,5,3,5,4,4,4,4,5,4,3,5,5,2,4,4,4,5,2,4,3,3,4,1.25,1.875,1.0,1.875
STU_0026,UNMSM,4.3,3.8,3.9,4.0,Alto,Alto,Alto,Alto,0,4,5,5,5,4,4,4,4,4,4,3,4,5,3,3,4,4,4,4,4,3,4,4,5,4,4,4,4,3,4,2.25,2.875,3.0,2.875
STU_0027,UNMSM,3.9,4.2,4.1,4.066666666666666,Alto,Alto,Alto,Alto,0,4,5,5,3,4,1,4,4,5,4,5,4,3,5,4,5,4,3,5,4,4,5,4,5,4,3,4,5,4,3,1.75,2.625,2.0,2.625
STU_0028,UNMSM,3.6,3.6,3.5,3.5666666666666664,Medio,Medio,Medio,Medio,0,4,4,4,2,2,3,5,4,3,5,3,4,4,4,4,4,4,2,3,4,2,4,3,4,4,3,4,4,4,3,2.25,3.375,3.0,3.375
STU_0029,UNMSM,3.5,3.4,3.2,3.366666666666667,Bajo,Medio,Bajo,Medio,1,4,4,3,4,4,3,3,3,4,3,4,4,4,3,4,3,3,2,3,4,2,4,2,5,4,2,4,3,4,2,2.75,2.875,2.5,2.875
STU_0030,UNMSM,3.9,3.6,3.5,3.6666666666666665,Alto,Medio,Medio,Medio,0,5,4,4,4,4,2,4,4,4,4,4,4,5,3,3,5,4,2,2,4,4,4,4,5,5,1,5,4,2,1,1.5,2.25,1.5,2.25
STU_0031,UNMSM,2.9,3.7,3.5,3.3666666666666667,Bajo,Alto,Medio,Bajo,1,4,3,4,2,3,1,4,4,2,2,3,5,5,4,3,5,5,1,2,4,2,4,4,4,4,3,4,3,5,2,2.25,2.375,2.0,2.375
STU_0034,UNMSM,4.2,4.3,4.6,4.366666666666666,Alto,Alto,Alto,Alto,0,5,4,5,5,5,2,4,5,4,3,4,3,4,5,5,5,4,3,5,5,5,5,4,5,5,4,5,5,5,3,1.25,2.0,1.5,2.0
STU_0035,UNMSM,3.5,4.1,3.6,3.733333333333333,Bajo,Alto,Medio,Medio,0,4,3,4,4,3,3,4,3,3,4,4,5,5,4,4,5,3,3,4,4,3,5,3,5,4,2,3,4,4,3,1.625,2.125,1.75,2.125
STU_0036,UNMSM,4.6,5.0,5.0,4.866666666666666,Alto,Alto,Alto,Alto,1,5,5,5,5,5,3,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3.5,5.0,5.0,5.0
STU_0039,UNMSM,4.4,4.5,3.8,4.233333333333333,Alto,Alto,Medio,Alto,1,5,5,5,5,4,2,4,5,4,5,5,5,5,4,4,5,5,3,4,5,2,4,4,5,5,2,5,3,4,4,1.75,1.875,1.0,1.875
STU_0042,UNMSM,4.4,4.5,4.4,4.433333333333334,Alto,Alto,Alto,Alto,1,5,4,4,4,5,4,5,5,4,4,5,4,5,4,5,5,5,4,4,4,5,4,4,4,5,4,5,4,5,4,1.75,1.75,1.5,1.75
STU_0043,UNMSM,4.0,3.9,3.8,3.9,Alto,Alto,Medio,Alto,0,4,3,4,5,4,4,4,4,4,4,4,5,4,4,4,4,4,2,4,4,3,4,4,5,4,3,4,4,4,3,1.875,2.0,2.25,2.0
