Item,Dimension,N_Faltantes,Pct_Faltantes,N_Validos,Pct_Validos
C1,Crítica,106,14.08,647,85.92
C2,Crítica,118,15.67,635,84.33
C3,Crítica,135,17.93,618,82.07
C4,Crítica,110,14.61,643,85.39
C5,Crítica,102,13.55,651,86.45
C6,Crítica,48,6.37,705,93.63
C7,Crítica,94,12.48,659,87.52
C8,Crítica,89,11.82,664,88.18
C9,Crítica,111,14.74,642,85.26
C10,Crítica,138,18.33,615,81.67
T1,Técnica,111,14.74,642,85.26
T2,Técnica,147,19.52,606,80.48
T3,Técnica,126,16.73,627,83.27
T4,Técnica,100,13.28,653,86.72
T5,Técnica,120,15.94,633,84.06
T6,Técnica,111,14.74,642,85.26
T7,Técnica,155,20.58,598,79.42
T8,Técnica,80,10.62,673,89.38
T9,Técnica,126,16.73,627,83.27
T10,Técnica,34,4.52,719,95.48
P1,Participativa,0,0.0,753,100.0
P2,Participativa,0,0.0,753,100.0
P3,Participativa,0,0.0,753,100.0
P4,Participativa,0,0.0,753,100.0
P5,Participativa,0,0.0,753,100.0
P6,Participativa,0,0.0,753,100.0
P7,Participativa,0,0.0,753,100.0
P8,Participativa,0,0.0,753,100.0
P9,Participativa,0,0.0,753,100.0
P10,Participativa,0,0.0,753,100.0
