ID_Estudiante,Universidad,Edad,Sexo,Semestre,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,A1_Interrupcion,A2_Desaprobados,A3_Retirados,A4,L2_Inactividad,Calidad_Percibida,Flag_Inconsistencia,Score_Critico,Score_Tecnico,Score_Participativo,Score_AMI_Global,Riesgo_Total,BC1,BC2,BC3,BC4,BT1,BT2,BT3,BT4,BP1,BP2,BP3,BP4
STU_0001,UNMSM,21,Femenino,5to,3,3,3,3,3,4,3,3,3,3,3,2,3,4,3,3,3,3,3,3,2,1,3,2,2,3,2,2,2,3,Sí,En dos o más cursos,"Sí, en más de una ocasión",1,Frecuentemente,1,False,3.1,3.0,2.2,2.7666666666666666,1,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.
STU_0002,UNFV,19,Femenino,7mo,3,4,3,3,4,3,3,2,3,2,2,2,2,2,2,2,2,2,2,1,3,3,2,2,2,3,2,2,3,3,Sí,En dos o más cursos,"Sí, en más de una ocasión",1,Frecuentemente,3,False,3.0,1.9,2.5,2.466666666666667,1,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.
STU_0003,UNI,25,Masculino,5to,2,3,1,3,2,3,3,3,2,2,2,3,1,3,3,2,2,3,2,2,2,2,1,2,2,2,3,3,2,1,Sí,En un curso,"Sí, en un curso",2,Algunas veces,5,False,2.4,2.3,2.0,2.2333333333333334,1,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.
STU_0004,UNI,22,Femenino,8vo,3,4,3,4,2,4,3,4,3,4,4,4,4,3,2,3,4,3,3,3,4,3,3,3,3,3,2,3,3,3,No,Nunca,No,4,Nunca,4,False,3.4,3.3,3.0,3.2333333333333334,0,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.
STU_0005,UNMSM,16,Femenino,5to,4,3,3,2,3,4,4,3,4,3,3,3,3,2,2,2,2,2,2,2,3,1,3,2,3,2,2,2,2,2,No,En un curso,"Sí, en más de una ocasión",2,Algunas veces,3,False,3.3,2.3,2.2,2.6,1,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.
STU_0006,UNMSM,21,Femenino,6to,2,3,3,2,3,3,2,3,2,3,3,3,2,4,3,3,2,2,4,4,2,3,3,3,3,3,4,3,3,3,No,En un curso,"Sí, en un curso",2,Algunas veces,3,False,2.6,3.0,3.0,2.8666666666666667,1,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.
STU_0007,UNMSM,19,Femenino,7mo,1,2,1,1,1,1,2,1,1,2,3,3,1,2,2,2,2,2,3,2,1,1,2,1,2,1,2,1,1,2,Sí,En dos o más cursos,"Sí, en más de una ocasión",1,Frecuentemente,3,False,1.3,2.2,1.4,1.6333333333333333,1,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.
STU_0008,UNFV,22,Masculino,7mo,2,2,2,3,2,2,2,2,2,3,3,3,4,3,4,3,2,3,4,3,3,3,3,3,2,3,3,3,3,3,Sí,En dos o más cursos,"Sí, en más de una ocasión",2,Frecuentemente,2,False,2.2,3.2,2.9,2.7666666666666666,1,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.
STU_0009,UNI,19,Masculino,7mo,3,2,2,2,3,2,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,3,2,3,3,3,2,2,4,Sí,En dos o más cursos,"Sí, en más de una ocasión",1,Frecuentemente,3,False,2.3,3.0,2.9,2.7333333333333334,1,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.
STU_0010,UNI,20,Masculino,8vo,3,3,4,4,4,4,3,3,3,3,3,1,2,3,1,3,1,2,2,2,3,2,3,3,2,4,2,3,3,3,No,En un curso,"Sí, en un curso",2,Frecuentemente,3,False,3.4,2.0,2.8,2.7333333333333334,1,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.
STU_0011,UNMSM,22,Masculino,7mo,2,2,2,3,2,2,3,2,1,2,3,4,2,3,3,4,3,3,3,3,3,3,3,3,3,2,3,4,3,3,No,En un curso,"Sí, en un curso",3,Rara vez,3,False,2.1,3.1,3.0,2.7333333333333334,1,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.
STU_0012,UNFV,22,Femenino,6to,4,3,3,4,2,2,3,3,3,4,3,3,2,3,3,2,3,3,2,3,3,4,4,4,4,3,4,4,3,4,Sí,En un curso,"Sí, en un curso",2,Algunas veces,4,False,3.1,2.7,3.7,3.1666666666666665,1,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.
STU_0013,UNFV,18,Femenino,8vo,3,3,2,2,2,2,1,2,2,1,2,1,1,2,2,2,1,2,2,2,2,3,2,2,2,3,2,1,2,2,Sí,En dos o más cursos,"Sí, en más de una ocasión",1,Frecuentemente,3,False,2.0,1.7,2.1,1.9333333333333333,1,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.
STU_0014,UNMSM,20,Masculino,6to,3,2,2,3,3,3,3,3,3,3,3,3,3,2,2,3,4,3,3,3,3,1,2,1,2,2,1,3,2,2,Sí,En dos o más cursos,"Sí, en más de una ocasión",1,Frecuentemente,4,False,2.8,2.9,1.9,2.533333333333333,1,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.
STU_0015,UNMSM,20,Masculino,5to,3,3,3,4,3,2,3,3,3,3,2,3,2,3,3,3,2,2,4,4,3,4,2,3,3,3,2,3,3,3,No,En un curso,No,3,Nunca,4,False,3.0,2.8,2.9,2.9,0,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.
STU_0016,UNMSM,19,Masculino,5to,2,2,2,2,2,2,2,2,2,2,2,3,2,3,3,3,3,2,2,3,3,2,1,2,2,1,1,2,2,2,Sí,En dos o más cursos,"Sí, en más de una ocasión",1,Frecuentemente,1,False,2.0,2.6,1.8,2.1333333333333333,1,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.
STU_0017,UNMSM,24,Femenino,5to,3,4,3,2,3,3,4,4,3,3,4,4,4,2,3,4,4,4,4,3,3,2,2,2,3,2,2,3,3,2,No,En un curso,"Sí, en un curso",3,Algunas veces,3,False,3.2,3.6,2.4,3.066666666666667,1,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.
STU_0018,UNI,21,Masculino,5to,1,1,3,1,2,1,1,1,1,1,1,1,2,1,2,1,1,1,2,2,2,1,2,1,2,2,2,1,1,1,Sí,En dos o más cursos,"Sí, en más de una ocasión",1,Frecuentemente,3,False,1.3,1.4,1.5,1.4,1,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.
STU_0019,UNI,18,Masculino,6to,3,2,2,3,3,3,3,2,3,3,2,3,2,2,3,2,4,3,3,3,4,2,3,3,2,3,3,2,3,3,Sí,En dos o más cursos,"Sí, en más de una ocasión",1,Frecuentemente,1,False,2.7,2.7,2.8,2.7333333333333334,1,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.
STU_0020,UNMSM,22,Masculino,8vo,5,4,5,3,4,4,4,3,4,5,3,3,3,3,3,2,3,3,2,2,3,3,3,3,2,3,3,3,4,3,No,En dos o más cursos,"Sí, en un curso",3,Algunas veces,3,False,4.1,2.7,3.0,3.2666666666666666,1,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.
STU_0021,UNI,25,Femenino,8vo,4,5,4,4,4,5,4,5,4,4,3,2,2,2,2,2,2,2,3,3,2,2,2,1,2,2,2,2,3,3,Sí,En dos o más cursos,"Sí, en más de una ocasión",1,Frecuentemente,1,False,4.3,2.3,2.1,2.9,1,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.
STU_0022,UNMSM,23,Femenino,7mo,2,3,3,3,3,3,3,3,3,2,2,2,2,1,1,1,1,2,2,2,3,2,2,2,1,1,2,1,1,2,Sí,En dos o más cursos,"Sí, en más de una ocasión",1,Frecuentemente,3,False,2.8,1.6,1.7,2.033333333333333,1,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.
STU_0023,UNMSM,17,Femenino,6to,3,2,3,3,3,4,2,3,2,3,2,2,2,2,3,3,2,2,3,2,3,2,2,3,3,3,3,2,2,2,Sí,En dos o más cursos,"Sí, en más de una ocasión",1,Frecuentemente,3,False,2.8,2.3,2.5,2.533333333333333,1,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.
STU_0024,UNMSM,20,Femenino,5to,2,3,2,3,2,3,2,3,2,2,2,2,1,1,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,Sí,En dos o más cursos,"Sí, en más de una ocasión",2,Frecuentemente,1,False,2.4,1.6,1.9,1.9666666666666666,1,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.
STU_0025,UNI,23,Femenino,6to,2,2,2,2,2,2,3,1,2,1,2,1,2,3,2,3,2,2,1,2,1,3,1,1,1,3,1,2,1,2,Sí,En dos o más cursos,"Sí, en más de una ocasión",1,Frecuentemente,3,False,1.9,2.0,1.6,1.8333333333333333,1,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.
STU_0026,UNI,19,Femenino,7mo,2,1,2,3,2,2,2,2,2,2,2,3,3,3,1,1,2,2,3,3,1,1,1,1,2,1,1,1,2,2,No,En dos o más cursos,"Sí, en un curso",2,Algunas veces,2,False,2.0,2.3,1.3,1.8666666666666667,1,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.
STU_0027,UNMSM,21,Femenino,7mo,4,2,2,2,2,3,3,3,3,3,3,3,2,2,3,3,3,2,2,3,3,3,3,2,2,3,2,3,3,3,Sí,En dos o más cursos,"Sí, en más de una ocasión",1,Frecuentemente,1,False,2.7,2.6,2.7,2.6666666666666665,1,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.
