ID_Estudiante,Universidad,Edad,Sexo,Semestre,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,A1_Interrupcion,A2_Desaprobados,A3_Retirados,A4,A5,A6,A7,A8,L1,L2,L3,L4,L5,L6,L7,L8,Calidad_Percibida,BC1,BC2,BC3,BC4,BT1,BT2,BT3,BT4,BP1,BP2,BP3,BP4,Flag_Inconsistencia,Score_Critico,Score_Tecnico,Score_Participativo,Score_AMI_Global,Riesgo_Total,A5_Dificultad_num,A6_Consideracion_Abandono_num,A7_Exigencia_num,A8_Retrasos_num,L1_num,L2_num,L3_num,L4_num,L5_num,L6_num,L7_num,L8_num,Score_Riesgo_Academico,Score_Riesgo_LMS,Score_Riesgo_Continuidad,Indice_Coherencia,Analisis_Cuali,Flag_Inconsistencia_IA
STU_0002,UNMSM,,,,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5,5,5,5,1,5,5,5,5,5,No,Nunca,No,,1,1,1,1,1,3.0,1,1,1,1,1,1,,Sin respuesta.,Sin respuesta.,Sin respuesta.,Sin respuesta.,Sin respuesta.,Sin respuesta.,Sin respuesta.,Sin respuesta.,Sin respuesta.,Sin respuesta.,Sin respuesta.,Sin respuesta.,True,4.6,4.6,4.6,4.6,0,3,3,3,3,1,3.0,1,1,1,1,1,1,2.0,1.25,2.0,,,False
STU_0003,UNI,,,,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,3.0,2.0,4.0,3.0,3.0,4.0,3,4,3,3,3,3,3,3,3,3,Sí,En un Curso,No,,3,4,3,3,3,3.0,3,3,3,4,3,3,,los profesores no comparten informacion para ampliar los temas,investigo en la nube,mediante chatpgt,no entiendo,busco en la nube sobre el tema tratado,ahora es sencillo hay videos guias,consulto busco busco videos guias,mediante chatgpt te guia paso a paso,soy disciplinado,a veces depende del docente muchos son aburridos,todos aportamos igual es nota para todos,depende levantando la mano mediante forum,False,3.1,3.5,3.1,3.2333333333333334,1,3,3,3,3,3,3.0,3,3,3,4,3,3,2.5,3.125,4.0,,,False
STU_0004,UNMSM,,,,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5,5,5,5,1,5,5,5,5,5,Sí,Nunca,No,,2,2,2,2,2,3.0,2,2,2,2,2,2,,"Identifico problemas observando dificultades en el trabajo, analizando sus causas y escuchando a los involucrados para ver qué necesita mejora.","Analizo críticamente comparando fuentes, evaluando su confiabilidad y verificando si la información tiene evidencia y coherencia.","Cuestiono los supuestos preguntando si son realmente ciertos, buscando evidencia y considerando otras perspectivas o alternativas.","Valoro diferentes perspectivas comparándolas, analizando sus argumentos y considerando cuál tiene mayor evidencia y coherencia.",Sin respuesta.,Sin respuesta.,Sin respuesta.,Sin respuesta.,Sin respuesta.,Sin respuesta.,Sin respuesta.,Sin respuesta.,True,4.6,4.6,4.6,4.6,1,3,3,3,3,2,3.0,2,2,2,2,2,2,2.5,2.125,4.0,,,False
STU_0005,UNMSM,,,,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5,5,5,5,1,5,5,5,5,5,No,Nunca,No,,3,2,2,2,1,3.0,1,1,2,1,2,2,,"Identifico problemas relevantes mediante la observación constante de las brechas entre la teoría y la práctica, así como a través de la revisión sistemática de literatura actualizada para detectar temas poco explorados o contradicciones en los datos existentes. Este proceso se complementa con el análisis de las necesidades actuales del entorno social o profesional, priorizando aquellos desafíos que, de ser resueltos, generarían un impacto significativo o un avance real en el conocimiento del área.","El análisis crítico lo realizo evaluando primero la confiabilidad y el rigor metodológico de la fuente, contrastando los argumentos presentados con evidencias verificables y otras perspectivas teóricas. No acepto la información de manera pasiva; por el contrario, busco detectar posibles sesgos, falacias lógicas o falta de sustento empírico, desglosando los componentes del mensaje para entender no solo qué se dice, sino con qué intención y bajo qué premisas se sostiene.","Cuestiono los supuestos deconstruyendo las ideas que suelen aceptarse como verdades absolutas, preguntándome si estas premisas siguen siendo válidas en el contexto actual o si responden a intereses y paradigmas obsoletos. Utilizo el pensamiento lateral para imaginar escenarios donde esos supuestos no se cumplen, lo que me permite identificar las bases invisibles de un argumento y proponer nuevas formas de abordar el objeto de estudio desde una base más sólida y justificada.","Valoro las diferentes perspectivas integrándolas como piezas complementarias de una realidad compleja, reconociendo que la pluralidad de enfoques disciplinares y culturales enriquece la comprensión del problema. En lugar de descartar visiones opuestas, busco los puntos de convergencia y las discrepancias fundamentales, utilizando el diálogo constructivo para fortalecer mis propias conclusiones y evitar el reduccionismo intelectual en el análisis académico.","Busco evidencias a través de una investigación rigurosa en bases de datos académicas, repositorios institucionales y fuentes oficiales que cuenten con revisión por pares o respaldo de expertos en la materia. Este proceso implica filtrar la información mediante criterios de actualidad, relevancia y objetividad, asegurándome de que cada argumento que sostengo esté fundamentado en datos cuantitativos o cualitativos verificables, evitando el uso de información anecdótica o fuentes de dudosa procedencia.","Gestiono los recursos digitales organizándolos mediante herramientas de curación de contenidos y sistemas de almacenamiento en la nube, lo que me permite clasificar la información por categorías o temas de interés. Además, establezco un cronograma de revisión para evitar la infoxicación, priorizando plataformas interactivas y bibliotecas virtuales que faciliten el acceso rápido a materiales de alta calidad, optimizando así el tiempo de estudio y garantizando que el aprendizaje sea continuo y estructurado.","Utilizo herramientas tecnológicas de trabajo colaborativo, como gestores de tareas, documentos compartidos en tiempo real y plataformas de comunicación asincrónica, para asegurar una coordinación fluida con mi equipo. Estas herramientas me permiten asignar responsabilidades claras, realizar un seguimiento del progreso del proyecto y facilitar el intercambio inmediato de ideas y retroalimentación, eliminando barreras geográficas y optimizando la productividad colectiva mediante un flujo de trabajo transparente.","Resuelvo problemas técnicos adoptando un enfoque proactivo que comienza con la identificación precisa del error, consultando manuales de usuario o foros especializados de soporte técnico. Si la incidencia persiste, aplico soluciones lógicas básicas como la revisión de la conectividad, la actualización de software o el uso de alternativas compatibles, manteniendo siempre una actitud calmada y comunicando el inconveniente oportunamente a los involucrados para minimizar el impacto en el desarrollo de las actividades.","Organizo mi tiempo mediante el uso de calendarios digitales y listas de tareas priorizadas según la urgencia y complejidad de cada actividad, aplicando técnicas de gestión como la planificación semanal. Establezco bloques de tiempo específicos para el estudio profundo, evitando distracciones y asegurando el cumplimiento de los plazos de entrega, lo que me permite mantener un equilibrio constante entre la carga académica y mis otras responsabilidades personales.","Participo activamente mediante la intervención fundamentada, aportando argumentos basados en lecturas previas y evidencias teóricas que nutran el debate. Mi enfoque se basa en la escucha activa y el respeto a las opiniones ajenas, formulando preguntas que inviten a la reflexión y ofreciendo perspectivas constructivas que ayuden a profundizar en los temas tratados, promoviendo así un intercambio de conocimientos dinámico y significativo.","Mi colaboración se basa en la comunicación asertiva, la responsabilidad compartida y la disposición para ayudar en las áreas donde el equipo lo requiera. Contribuyo activamente en la definición de objetivos comunes, cumplo con mis asignaciones en los tiempos acordados y fomento un ambiente de apoyo mutuo donde se reconozcan las fortalezas de cada integrante, asegurando que el resultado final sea cohesivo y de alta calidad.","Expreso mis ideas en espacios virtuales de manera clara, concisa y profesional, adaptando el lenguaje al canal utilizado y respetando siempre las normas de netiqueta. Me aseguro de que mis mensajes sean estructurados y fáciles de leer, utilizando párrafos breves y argumentos bien articulados que faciliten la comprensión por parte de los demás usuarios, promoviendo una interacción respetuosa y eficiente en el entorno digital.",True,4.6,4.6,4.6,4.6,0,3,3,3,3,1,3.0,1,1,2,1,2,2,2.0,1.625,2.0,,,False
STU_0006,UNI,,,,2.0,4.0,4.0,5.0,4.0,2.0,4.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,2.0,4.0,2.0,4.0,3.0,2,4,4,4,2,4,4,2,3,2,Sí,En un Curso,"Sí, en más de una ocasión",,4,5,3,3,1,3.0,4,2,5,2,4,4,,Identifico errores en los procesos y/o herramientas que se encarguen de la entrega de información a los usuarios. Tambien buscando la retroalimentación de los compañeros.,Revisando la fuente de información y comparando con otras referencias.,Formulando preguntas tras haber revisado la información y/o habiendo comparado con otras referencias. ,"Dependiendo del contexto, al comparar diferentes opiniones sobre un mismo sujeto se puede lograr una comprensión más amplia ",Busco y comparo distintas fuentes de información especializada para poder formular una opinión con respaldo.,"A través de plataformas de aprendizaje, o herramientas que permiten la organización de información. ","Principalmente aprovechando herramientas que faciliten la comunicación entre usuarios así como herramientas de organización y seguimiento, como la nube.","Se identifica el problema y se prueba aproximaciones que permitan encontrar una solución, pedir ayuda técnica o explorar alternativas que permitan dar continuidad a la sesión.",Apoyándose en herramientas de organización para distribuir la carga y establecer horarios. ,A través de plataformas de aprendizaje o redes sociales.,Apoyándose en herramientas de comunicación así como herramientas de organización y seguimiento.,"Buscaría entornos con amplia concurrencia de usuarios, ya sean blogs, plataformas de aprendizaje o incluso redes sociales.",False,3.4,3.1,3.1,3.2,1,3,3,3,3,1,3.0,4,2,5,2,4,4,3.0,3.125,4.0,,,False
STU_0007,UNMSM,,,,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4,4,4,4,2,4,4,4,4,4,No,Nunca,No,,4,4,4,4,4,3.0,4,4,4,4,4,4,,Sin respuesta.,Sin respuesta.,Sin respuesta.,Sin respuesta.,Sin respuesta.,Sin respuesta.,Sin respuesta.,Sin respuesta.,Sin respuesta.,Sin respuesta.,Sin respuesta.,Sin respuesta.,False,2.6,3.6,3.8,3.333333333333333,1,3,3,3,3,4,3.0,4,4,4,4,4,4,2.0,3.875,2.0,,,False
STU_0008,UNI,,,,3.0,3.0,3.0,5.0,3.0,4.0,3.0,4.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3,3,3,4,3,3,3,3,3,3,No,Nunca,No,,3,3,3,3,3,3.0,3,3,3,3,3,3,,Realizando un análisis antes de realizar dicha tarea,Utilizando distintos métodos de análisis ,Realizando cuestiones repetitivas y encontrando una relación en el tema,Recolectando la información y realizando un análisis crítico ,Buscando si las fuentes son confiables ,Utilizando diversos recursos de aprendizaje ,Herramientas de inteligencia de artificial ,Utilizando inteligencia artificial ,Con un horario de estudios ,No participo,No colaboro ,No expreso ,False,3.4,2.6,3.1,3.033333333333333,0,3,3,3,3,3,3.0,3,3,3,3,3,3,2.0,3.0,2.0,,,False
STU_0009,UNI,,,,3.0,3.0,4.0,4.0,3.0,3.0,5.0,3.0,4.0,5.0,3.0,4.0,5.0,4.0,3.0,2.0,4.0,4.0,2.0,3.0,4,4,5,3,3,3,5,5,5,3,Sí,En un Curso,No,,4,4,4,5,3,3.0,3,3,5,4,3,3,,.,.,.,.,.,.,.,.,.,.,.,.,False,3.7,3.4,4.0,3.7,1,3,3,3,3,3,3.0,3,3,5,4,3,3,2.5,3.375,4.0,,,False
STU_0010,UNI,,,,3.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4,4,4,4,2,4,4,4,4,4,No,Nunca,No,,2,2,2,2,2,3.0,2,2,2,2,2,2,,PREGUNTANDO,REVISANDO DETALLADAMENTE LA INFORMACION ,PREGUNTANDO,Sin respuesta.,INVESTIGANDO,ORGANIZANDO LOS RECURSOS DIGITALES ,"USANDO PLATAFORMAS COMO GOOGLE DRIVE, SOFTWARE BIN COLABORATIVO, WSP, ZOOM, ETC",INVESTIGANDO INFORMACION TECNICA ,PLANIFICACION SEMANAL PRIORIZANDO TARES SEGUN SU IMPORTANCIA Y URGENCIA,"APORTANDO OPINIONES TECNICAS, ESCUCHANDO A LOS DEMAS, PREGUNTANDO, ETC","ASIGNANDO RESPONSABILIDADES, Y CON COMUNICACION CONSTANTE","DE MANERA ESTRUCTURADA Y PRECISA, CON MATERIAL VISUAL DE SER POSIBLE",False,3.7,3.8,3.8,3.7666666666666666,0,3,3,3,3,2,3.0,2,2,2,2,2,2,2.0,2.125,2.0,,,False
STU_0011,UNMSM,,,,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,2.0,4.0,4.0,3.0,4.0,4,4,4,4,2,4,4,4,4,4,No,Nunca,No,,2,2,2,2,2,3.0,2,2,2,2,2,2,,"preguntàndome, què me afecta y còmo",lo leo detenidamente por unos minutos y tomo nota,buscando informacion que la respalde en internet,realizando un analisis de cada perspectiva,en google scholar o scopus o alguna revista relevante,controlando estrictamente el tiempo que paso frente a la pantalla,para buscar nuevas ideas e inspiracion,buscando en internet o aplicando mi experiencia,siendo estricto con los horarios,dando a conocer mi opinion previamente investigada y con un guion,con escucha activa y empatia,enviando un mensaje ya sea texto o voz,False,3.8,3.6,3.8,3.733333333333333,0,3,3,3,3,2,3.0,2,2,2,2,2,2,2.0,2.125,2.0,,,False
