ID_Estudiante,Universidad,Edad,Sexo,Semestre,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,A1_Interrupcion,A2_Desaprobados,A3_Retirados,A4,A5_Dificultad,A6_Consideracion_Abandono,A7_Exigencia,A8_Retrasos,L1,L2,L3,L4,L5,L6,L7,L8,Calidad_Percibida,BC1,BC2,BC3,BC4,BT1,BT2,BT3,BT4,BP1,BP2,BP3,BP4,Flag_Inconsistencia,Score_Critico,Score_Tecnico,Score_Participativo,Score_AMI_Global,Riesgo_Total,A5_Dificultad_num,A6_Consideracion_Abandono_num,A7_Exigencia_num,A8_Retrasos_num,L1_num,L2_num,L3_num,L4_num,L5_num,L6_num,L7_num,L8_num,Score_Riesgo_Academico,Score_Riesgo_LMS,Score_Riesgo_Continuidad,Sentimiento_Academico,Indice_Coherencia,Etiquetas_Tematicas,Analisis_Cuali,A1_num,A2_num,A3_num,A4_num,Riesgo_Acad_Perceptual,Riesgo_Documental,Flag_Inconsistencia_IA
STU_0001,UNMSM,,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2,2,4,4,4,2,4,4,4,4,Sí,En un Curso,No,Medio,4,4,4,4,4,4,4,3,5,4,4,4,,"Llevando la teoría a la realidad, y buscando detalles que faltan mejorar.",Contrastando con artículos científicos.,Mediante preguntas o reflexiones.,De acuerdo al grado de evidencia científica.,En repositorios académicos y buscadores científicos.,Organizo en carpetas.,Aprendiendo gestores de bibliografía.,Teniendo a la mano más aparatos electrónicos.,Un horario. ,Leyendo y estudiando el tema.,Aportando ideas.,Mediante comentarios o preguntas. ,False,3.6,4.0,3.4,3.6666666666666665,1,4,4,4,4,4,4,4,3,5,4,4,4,3.5,4.0,4.5,0.7,0.85,"Pensamiento crítico, Investigación académica, Organización de la información","El estudiante demuestra una coherencia alta entre sus respuestas cualitativas y sus puntajes cuantitativos. Los puntajes en 'Critico' (3.6) y 'Tecnico' (4.0) se alinean con respuestas que enfatizan la búsqueda de detalles, la contrastación con fuentes científicas y la organización de información en repositorios y carpetas. La respuesta 'Participativo' (3.4) se refleja en la mención de preguntas, reflexiones y aportación de ideas.  El sentimiento académico es predominantemente positivo, indicando un enfoque proactivo y un deseo de mejora continua.",1,1,0,2.0,4.0,4.0,False
STU_0002,UNMSM,,,,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5,5,5,5,5,5,5,5,5,5,No,Nunca,No,Alto,1,1,1,1,1,1,1,1,1,1,1,1,,Sin respuesta.,Sin respuesta.,Sin respuesta.,Sin respuesta.,Sin respuesta.,Sin respuesta.,Sin respuesta.,Sin respuesta.,Sin respuesta.,Sin respuesta.,Sin respuesta.,Sin respuesta.,True,4.6,5.0,5.0,4.866666666666666,0,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,"Competencia Técnica, Colaboración en Medios, Pensamiento Crítico","Este estudiante demuestra una coherencia excepcional. Los altos puntajes cuantitativos en las dimensiones 'Crítico', 'Técnico' y 'Participativo', junto con un perfil de 'Riesgo Bajo', sugieren un dominio y confianza en alfabetización mediática. La ausencia de respuestas cualitativas (indicando 'Sin respuesta') no genera una contradicción, sino que más bien refuerza la idea de que sus habilidades se manifiestan a través de la acción y la demostración de competencia en lugar de la reflexión explícita, resultando en un índice de coherencia perfecto.",0,0,0,1.0,1.0,1.0,False
STU_0003,UNI,,,,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,3,4,3,3,3,3,3,3,3,3,Sí,En un Curso,No,Medio,3,4,3,3,3,3,3,3,3,4,3,3,,los profesores no comparten informacion para ampliar los temas,investigo en la nube,mediante chatpgt,no entiendo,busco en la nube sobre el tema tratado,ahora es sencillo hay videos guias,consulto busco busco videos guias,mediante chatgpt te guia paso a paso,soy disciplinado,a veces depende del docente muchos son aburridos,todos aportamos igual es nota para todos,depende levantando la mano mediante forum,False,3.1,3.7,3.1,3.3,1,3,4,3,3,3,3,3,3,3,4,3,3,3.125,3.125,4.5,0.5,0.7,"Acceso a la información, Uso de herramientas digitales, Participación y colaboración","El estudiante muestra una coherencia moderada a alta. Los puntajes técnicos son los más altos (3.7), lo que se alinea con la mención frecuente de herramientas como la ""nube"" y ""ChatGPT"" para investigar y obtener guías. Sin embargo, el sentimiento académico es neutral (0.5) debido a comentarios sobre la falta de información por parte de los profesores (BC1) y la dependencia del docente para la participación (BP2, BP4). Si bien el estudiante utiliza recursos digitales de forma activa, la experiencia académica se ve limitada por factores externos, lo que genera una ligera disonancia entre su capacidad técnica y su percepción del entorno de aprendizaje.",1,1,0,2.0,3.25,3.125,False
STU_0004,UNMSM,,,,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5,5,5,5,5,5,5,5,5,5,Sí,Nunca,No,Medio,2,2,2,2,2,2,2,2,2,2,2,2,,"Identifico problemas observando dificultades en el trabajo, analizando sus causas y escuchando a los involucrados para ver qué necesita mejora.","Analizo críticamente comparando fuentes, evaluando su confiabilidad y verificando si la información tiene evidencia y coherencia.","Cuestiono los supuestos preguntando si son realmente ciertos, buscando evidencia y considerando otras perspectivas o alternativas.","Valoro diferentes perspectivas comparándolas, analizando sus argumentos y considerando cuál tiene mayor evidencia y coherencia.",Sin respuesta.,Sin respuesta.,Sin respuesta.,Sin respuesta.,Sin respuesta.,Sin respuesta.,Sin respuesta.,Sin respuesta.,True,4.6,5.0,5.0,4.866666666666666,1,2,2,2,2,2,2,2,2,2,2,2,2,2.25,2.0,3.5,1.0,1.0,"Pensamiento crítico, Evaluación de fuentes, Perspectiva crítica","El estudiante demuestra una coherencia excepcional entre sus respuestas cualitativas y cuantitativas. Los altos puntajes en 'Critico', 'Tecnico' y 'Participativo', junto con un bajo riesgo, se reflejan directamente en sus detalladas y reflexivas respuestas sobre la identificación de problemas, el análisis crítico de fuentes, el cuestionamiento de supuestos y la valoración de diferentes perspectivas. La ausencia de respuestas en los campos técnicos y participativos (BT1-4, BP1-4) no afecta la coherencia general, ya que las preguntas abordadas demuestran un dominio profundo de las competencias críticas, lo que se alinea perfectamente con el puntaje cuantitativo en 'Critico'.",1,0,0,2.0,2.0,2.0,False
STU_0005,UNMSM,,,,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5,5,5,5,5,5,5,5,5,5,No,Nunca,No,Medio,3,2,2,2,1,1,1,1,2,1,2,2,,"Identifico problemas relevantes mediante la observación constante de las brechas entre la teoría y la práctica, así como a través de la revisión sistemática de literatura actualizada para detectar temas poco explorados o contradicciones en los datos existentes. Este proceso se complementa con el análisis de las necesidades actuales del entorno social o profesional, priorizando aquellos desafíos que, de ser resueltos, generarían un impacto significativo o un avance real en el conocimiento del área.","El análisis crítico lo realizo evaluando primero la confiabilidad y el rigor metodológico de la fuente, contrastando los argumentos presentados con evidencias verificables y otras perspectivas teóricas. No acepto la información de manera pasiva; por el contrario, busco detectar posibles sesgos, falacias lógicas o falta de sustento empírico, desglosando los componentes del mensaje para entender no solo qué se dice, sino con qué intención y bajo qué premisas se sostiene.","Cuestiono los supuestos deconstruyendo las ideas que suelen aceptarse como verdades absolutas, preguntándome si estas premisas siguen siendo válidas en el contexto actual o si responden a intereses y paradigmas obsoletos. Utilizo el pensamiento lateral para imaginar escenarios donde esos supuestos no se cumplen, lo que me permite identificar las bases invisibles de un argumento y proponer nuevas formas de abordar el objeto de estudio desde una base más sólida y justificada.","Valoro las diferentes perspectivas integrándolas como piezas complementarias de una realidad compleja, reconociendo que la pluralidad de enfoques disciplinares y culturales enriquece la comprensión del problema. En lugar de descartar visiones opuestas, busco los puntos de convergencia y las discrepancias fundamentales, utilizando el diálogo constructivo para fortalecer mis propias conclusiones y evitar el reduccionismo intelectual en el análisis académico.","Busco evidencias a través de una investigación rigurosa en bases de datos académicas, repositorios institucionales y fuentes oficiales que cuenten con revisión por pares o respaldo de expertos en la materia. Este proceso implica filtrar la información mediante criterios de actualidad, relevancia y objetividad, asegurándome de que cada argumento que sostengo esté fundamentado en datos cuantitativos o cualitativos verificables, evitando el uso de información anecdótica o fuentes de dudosa procedencia.","Gestiono los recursos digitales organizándolos mediante herramientas de curación de contenidos y sistemas de almacenamiento en la nube, lo que me permite clasificar la información por categorías o temas de interés. Además, establezco un cronograma de revisión para evitar la infoxicación, priorizando plataformas interactivas y bibliotecas virtuales que faciliten el acceso rápido a materiales de alta calidad, optimizando así el tiempo de estudio y garantizando que el aprendizaje sea continuo y estructurado.","Utilizo herramientas tecnológicas de trabajo colaborativo, como gestores de tareas, documentos compartidos en tiempo real y plataformas de comunicación asincrónica, para asegurar una coordinación fluida con mi equipo. Estas herramientas me permiten asignar responsabilidades claras, realizar un seguimiento del progreso del proyecto y facilitar el intercambio inmediato de ideas y retroalimentación, eliminando barreras geográficas y optimizando la productividad colectiva mediante un flujo de trabajo transparente.","Resuelvo problemas técnicos adoptando un enfoque proactivo que comienza con la identificación precisa del error, consultando manuales de usuario o foros especializados de soporte técnico. Si la incidencia persiste, aplico soluciones lógicas básicas como la revisión de la conectividad, la actualización de software o el uso de alternativas compatibles, manteniendo siempre una actitud calmada y comunicando el inconveniente oportunamente a los involucrados para minimizar el impacto en el desarrollo de las actividades.","Organizo mi tiempo mediante el uso de calendarios digitales y listas de tareas priorizadas según la urgencia y complejidad de cada actividad, aplicando técnicas de gestión como la planificación semanal. Establezco bloques de tiempo específicos para el estudio profundo, evitando distracciones y asegurando el cumplimiento de los plazos de entrega, lo que me permite mantener un equilibrio constante entre la carga académica y mis otras responsabilidades personales.","Participo activamente mediante la intervención fundamentada, aportando argumentos basados en lecturas previas y evidencias teóricas que nutran el debate. Mi enfoque se basa en la escucha activa y el respeto a las opiniones ajenas, formulando preguntas que inviten a la reflexión y ofreciendo perspectivas constructivas que ayuden a profundizar en los temas tratados, promoviendo así un intercambio de conocimientos dinámico y significativo.","Mi colaboración se basa en la comunicación asertiva, la responsabilidad compartida y la disposición para ayudar en las áreas donde el equipo lo requiera. Contribuyo activamente en la definición de objetivos comunes, cumplo con mis asignaciones en los tiempos acordados y fomento un ambiente de apoyo mutuo donde se reconozcan las fortalezas de cada integrante, asegurando que el resultado final sea cohesivo y de alta calidad.","Expreso mis ideas en espacios virtuales de manera clara, concisa y profesional, adaptando el lenguaje al canal utilizado y respetando siempre las normas de netiqueta. Me aseguro de que mis mensajes sean estructurados y fáciles de leer, utilizando párrafos breves y argumentos bien articulados que faciliten la comprensión por parte de los demás usuarios, promoviendo una interacción respetuosa y eficiente en el entorno digital.",True,4.6,5.0,5.0,4.866666666666666,0,3,2,2,2,1,1,1,1,2,1,2,2,1.875,1.375,1.5,1.0,1.0,"Pensamiento Crítico, Gestión de Información Digital, Colaboración y Comunicación Digital","El estudiante demuestra una coherencia excepcional entre sus respuestas cualitativas y cuantitativas. Sus puntuaciones máximas en los aspectos 'Técnico' y 'Participativo', junto con una alta puntuación en 'Crítico' y un riesgo 'BAJO', se ven completamente respaldados por sus descripciones detalladas.  Cada respuesta abierta ilustra de manera explícita las habilidades y la mentalidad que se reflejan en las métricas, mostrando un profundo entendimiento y aplicación práctica de los conceptos de alfabetización mediática.  No hay indicios de ambigüedad o contradicción; las descripciones actúan como una validación cualitativa de los altos puntajes obtenidos.",0,0,0,2.0,2.25,1.375,False
STU_0006,UNI,,,,2.0,4.0,4.0,5.0,4.0,2.0,4.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,4.0,2.0,4.0,3.0,2,4,4,4,4,4,4,2,3,2,Sí,En un Curso,"Sí, en más de una ocasión",Medio,4,5,3,3,1,1,4,2,5,2,4,4,,Identifico errores en los procesos y/o herramientas que se encarguen de la entrega de información a los usuarios. Tambien buscando la retroalimentación de los compañeros.,Revisando la fuente de información y comparando con otras referencias.,Formulando preguntas tras haber revisado la información y/o habiendo comparado con otras referencias. ,"Dependiendo del contexto, al comparar diferentes opiniones sobre un mismo sujeto se puede lograr una comprensión más amplia ",Busco y comparo distintas fuentes de información especializada para poder formular una opinión con respaldo.,"A través de plataformas de aprendizaje, o herramientas que permiten la organización de información. ","Principalmente aprovechando herramientas que faciliten la comunicación entre usuarios así como herramientas de organización y seguimiento, como la nube.","Se identifica el problema y se prueba aproximaciones que permitan encontrar una solución, pedir ayuda técnica o explorar alternativas que permitan dar continuidad a la sesión.",Apoyándose en herramientas de organización para distribuir la carga y establecer horarios. ,A través de plataformas de aprendizaje o redes sociales.,Apoyándose en herramientas de comunicación así como herramientas de organización y seguimiento.,"Buscaría entornos con amplia concurrencia de usuarios, ya sean blogs, plataformas de aprendizaje o incluso redes sociales.",False,3.4,3.3,3.3,3.333333333333333,1,4,5,3,3,1,1,4,2,5,2,4,4,3.875,2.875,5.0,0.7,0.8,"Verificación de información, Uso de herramientas tecnológicas, Colaboración y comunicación","El estudiante muestra una coherencia bastante alta entre sus respuestas cualitativas y sus puntuaciones cuantitativas. Los puntajes de 'Critico', 'Tecnico' y 'Participativo' en torno a 3.3-3.4 sugieren un nivel intermedio-alto de competencia en estas áreas, lo cual se alinea con sus respuestas detalladas sobre cómo identifica errores, revisa fuentes, formula preguntas y utiliza herramientas para organizar y comunicar información. Aunque el riesgo identificado es 'ALTO', las respuestas cualitativas no reflejan necesariamente frustración, sino un enfoque proactivo en la búsqueda de soluciones y mejora, lo que eleva su sentimiento académico. La coherencia se ve fuertemente respaldada por la descripción de procesos de verificación, comparación de fuentes y uso de plataformas tecnológicas, indicando una comprensión práctica de los conceptos evaluados.",1,1,2,2.0,3.75,2.875,False
STU_0008,UNI,,,,3.0,3.0,3.0,5.0,3.0,4.0,3.0,4.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3,3,3,4,3,3,3,3,3,3,No,Nunca,No,Medio,3,3,3,3,3,3,3,3,3,3,3,3,,Realizando un análisis antes de realizar dicha tarea,Utilizando distintos métodos de análisis ,Realizando cuestiones repetitivas y encontrando una relación en el tema,Recolectando la información y realizando un análisis crítico ,Buscando si las fuentes son confiables ,Utilizando diversos recursos de aprendizaje ,Herramientas de inteligencia de artificial ,Utilizando inteligencia artificial ,Con un horario de estudios ,No participo,No colaboro ,No expreso ,False,3.4,2.8,3.1,3.1,0,3,3,3,3,3,3,3,3,3,3,3,3,2.25,3.0,2.0,0.6,0.7,"Análisis Crítico, Uso de IA, Colaboración Limitada","El estudiante muestra un nivel moderado de sentimiento académico, indicando una disposición positiva pero con áreas de mejora. Los puntajes cuantitativos en ""Critico"" (3.4) y ""Participativo"" (3.1) sugieren un entendimiento general de la importancia del análisis y la participación, respaldado por respuestas cualitativas que enfatizan el análisis previo y la confiabilidad de fuentes. Sin embargo, el puntaje más bajo en ""Tecnico"" (2.8) y las respuestas ""No participo"", ""No colaboro"", ""No expreso"" sugieren una inconsistencia, donde la teoría sobre la participación no se refleja en la práctica o en la autopercepción de la colaboración. La mención de herramientas de IA (BT3, BT4) es relevante pero podría indicar una tendencia a delegar en lugar de una participación activa. A pesar de estas contradicciones puntuales, el índice de coherencia es moderadamente alto debido a la prevalencia de respuestas que describen un proceso de análisis y pensamiento crítico, lo cual se alinea bien con el puntaje ""Critico"".",0,0,0,2.0,3.0,3.0,False
STU_0009,UNI,,,,3.0,3.0,4.0,4.0,3.0,3.0,5.0,3.0,4.0,5.0,3.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,2.0,3.0,4,4,5,3,3,3,5,5,5,3,Sí,En un Curso,No,Medio,4,4,4,5,3,3,3,3,5,4,3,3,,.,.,.,.,.,.,.,.,.,.,.,.,False,3.7,3.6,4.0,3.7666666666666666,1,4,4,4,5,3,3,3,3,5,4,3,3,3.625,3.375,4.5,0.5,0.7,"Nivel técnico moderado, Participación activa esperada, Evaluación crítica en desarrollo","La coherencia del estudiante es moderadamente alta. Los puntajes cuantitativos sugieren un nivel de habilidad técnico y crítico intermedio, pero una fuerte inclinación hacia la participación. Sin embargo, la falta de datos cualitativos (respuestas abiertas vacías) impide una validación profunda de esta coherencia.  Se presume una ambivalencia en la expresión detallada de sus percepciones sobre Alfabetización Mediática, lo que lleva a un índice de coherencia por encima de lo genérico pero sin alcanzar la totalidad debido a la ausencia de evidencia cualitativa que respalde o refute los números.",1,1,0,2.0,4.25,3.375,False
STU_0010,UNI,,,,3.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,4,4,4,4,4,4,4,4,4,No,Nunca,No,Alto,2,2,2,2,2,2,2,2,2,2,2,2,,PREGUNTANDO,REVISANDO DETALLADAMENTE LA INFORMACION ,PREGUNTANDO,Sin respuesta.,INVESTIGANDO,ORGANIZANDO LOS RECURSOS DIGITALES ,"USANDO PLATAFORMAS COMO GOOGLE DRIVE, SOFTWARE BIN COLABORATIVO, WSP, ZOOM, ETC",INVESTIGANDO INFORMACION TECNICA ,PLANIFICACION SEMANAL PRIORIZANDO TARES SEGUN SU IMPORTANCIA Y URGENCIA,"APORTANDO OPINIONES TECNICAS, ESCUCHANDO A LOS DEMAS, PREGUNTANDO, ETC","ASIGNANDO RESPONSABILIDADES, Y CON COMUNICACION CONSTANTE","DE MANERA ESTRUCTURADA Y PRECISA, CON MATERIAL VISUAL DE SER POSIBLE",False,3.7,4.0,4.0,3.9,0,2,2,2,2,2,2,2,2,2,2,2,2,1.5,2.0,1.5,0.8,0.85,"Pensamiento crítico, Gestión de recursos digitales, Colaboración y comunicación","El estudiante muestra un alto grado de coherencia entre sus respuestas cualitativas y los puntajes cuantitativos. Los puntajes técnicos y participativos de 4.0 se reflejan en respuestas que detallan la revisión de información, el uso de plataformas digitales, la organización de recursos y la comunicación activa en grupo. Si bien el puntaje crítico es ligeramente inferior (3.7), las respuestas como ""PREGUNTANDO"" y ""REVISANDO DETALLADAMENTE LA INFORMACION "" indican una actitud proactiva hacia la evaluación de la información. El índice de coherencia es alto, sugiriendo que el estudiante se percibe y actúa de manera consistente con sus habilidades y actitudes en Alfabetización Mediática.",0,0,0,1.0,2.0,2.0,False
STU_0011,UNMSM,,,,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4,4,4,4,4,4,4,4,4,4,No,Nunca,No,Medio,2,2,2,2,2,2,2,2,2,2,2,2,,"preguntàndome, què me afecta y còmo",lo leo detenidamente por unos minutos y tomo nota,buscando informacion que la respalde en internet,realizando un analisis de cada perspectiva,en google scholar o scopus o alguna revista relevante,controlando estrictamente el tiempo que paso frente a la pantalla,para buscar nuevas ideas e inspiracion,buscando en internet o aplicando mi experiencia,siendo estricto con los horarios,dando a conocer mi opinion previamente investigada y con un guion,con escucha activa y empatia,enviando un mensaje ya sea texto o voz,False,3.8,3.8,4.0,3.8666666666666663,0,2,2,2,2,2,2,2,2,2,2,2,2,1.75,2.0,1.5,0.8,0.9,"Pensamiento Crítico, Búsqueda de Información, Comunicación Efectiva","El estudiante demuestra una alta coherencia entre sus respuestas cualitativas y cuantitativas en la encuesta de Alfabetización Mediática. Los puntajes promedio de 3.8 en 'Critico' y 'Tecnico', junto con un 4.0 en 'Participativo', se alinean perfectamente con las estrategias detalladas que emplea para cuestionarse a sí mismo (BC1), investigar a fondo (BC3, BT1), analizar perspectivas (BC4) y comunicarse de manera estructurada y empática (BP2, BP3). Su enfoque metódico y su deseo de validación y comprensión sugieren un sentimiento académico positivo y un alto grado de autoconciencia en su proceso de alfabetización mediática.",0,0,0,2.0,2.0,2.0,False
