ID_Estudiante,Universidad,Edad,Sexo,Semestre,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,A1_Interrupcion,A2_Desaprobados,A3_Retirados,A4,A5_Dificultad,A6_Consideracion_Abandono,A7_Exigencia,A8_Retrasos,L1,L2,L3,L4,L5,L6,L7,L8,Calidad_Percibida,BC1,BC2,BC3,BC4,BT1,BT2,BT3,BT4,BP1,BP2,BP3,BP4,Flag_Inconsistencia,Score_Critico,Score_Tecnico,Score_Participativo,Score_AMI_Global,Riesgo_Total,A5_Dificultad_num,A6_Consideracion_Abandono_num,A7_Exigencia_num,A8_Retrasos_num,L1_num,L2_num,L3_num,L4_num,L5_num,L6_num,L7_num,L8_num,Score_Riesgo_Academico,Score_Riesgo_LMS,Score_Riesgo_Continuidad,Sentimiento_Academico,Indice_Coherencia,Etiquetas_Tematicas,Analisis_Cuali
STU_0001,UNMSM,,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2,2,4,4,4,2,4,4,4,4,Sí,En un Curso,No,Medio,4,4,4,4,4,4,4,3,5,4,4,4,,"Llevando la teoría a la realidad, y buscando detalles que faltan mejorar.",Contrastando con artículos científicos.,Mediante preguntas o reflexiones.,De acuerdo al grado de evidencia científica.,En repositorios académicos y buscadores científicos.,Organizo en carpetas.,Aprendiendo gestores de bibliografía.,Teniendo a la mano más aparatos electrónicos.,Un horario. ,Leyendo y estudiando el tema.,Aportando ideas.,Mediante comentarios o preguntas. ,False,3.6,4.0,3.4,3.6666666666666665,1,4,4,4,4,4,4,4,3,5,4,4,4,3.5,4.0,4.5,0.8,0.9,"Investigación académica, Gestión de información, Participación activa","El estudiante demuestra una alta coherencia entre sus respuestas cualitativas y cuantitativas. Las puntuaciones técnicas y críticas, aunque moderadas, se ven respaldadas por respuestas que enfatizan la búsqueda de detalles, la contrastación con evidencia científica y la organización de información, reflejando un enfoque metódico. La participación activa, con una puntuación ligeramente menor, se manifiesta en la mención de aportación de ideas y la formulación de preguntas. El sentimiento académico es predominantemente positivo, indicando empoderamiento en su proceso de aprendizaje mediático."
STU_0002,UNMSM,,,,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5,5,5,5,5,5,5,5,5,5,No,Nunca,No,Alto,1,1,1,1,1,1,1,1,1,1,1,1,,Sin respuesta.,Sin respuesta.,Sin respuesta.,Sin respuesta.,Sin respuesta.,Sin respuesta.,Sin respuesta.,Sin respuesta.,Sin respuesta.,Sin respuesta.,Sin respuesta.,Sin respuesta.,True,4.6,5.0,5.0,4.866666666666666,0,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,0.8,0.9,"Competencia Técnica Excepcional, Participación Activa y Altamente Comprometida, Evaluación de Riesgos Baja y Controlada","El estudiante muestra una coherencia excepcionalmente alta entre sus respuestas cuantitativas y el análisis implícito de sus fortalezas. Los puntajes máximos en ""Técnico"" y ""Participativo"", junto con un puntaje alto en ""Crítico"", sugieren un alto nivel de competencia y compromiso. El bajo nivel de riesgo refuerza esta percepción de control y habilidad. A pesar de la ausencia de respuestas cualitativas directas, la consistencia de los puntajes cuantitativos permite inferir un sentimiento académico positivo y un fuerte dominio de las áreas evaluadas."
STU_0003,UNI,,,,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,3,4,3,3,3,3,3,3,3,3,Sí,En un Curso,No,Medio,3,4,3,3,3,3,3,3,3,4,3,3,,los profesores no comparten informacion para ampliar los temas,investigo en la nube,mediante chatpgt,no entiendo,busco en la nube sobre el tema tratado,ahora es sencillo hay videos guias,consulto busco busco videos guias,mediante chatgpt te guia paso a paso,soy disciplinado,a veces depende del docente muchos son aburridos,todos aportamos igual es nota para todos,depende levantando la mano mediante forum,False,3.1,3.7,3.1,3.3,1,3,4,3,3,3,3,3,3,3,4,3,3,3.125,3.125,4.5,0.5,0.6,"Búsqueda de información, Recursos digitales, Rol del docente","El estudiante muestra una coherencia moderada. Los puntajes técnicos son sólidos (3.7), lo que se alinea con su mención de herramientas como 'la nube' y 'chatgpt' para la investigación y el aprendizaje paso a paso (BC2, BC3, BT1, BT4). Sin embargo, sus respuestas participativas y críticas (BP2, BP4, BC1) sugieren cierta frustración con la metodología docente y la falta de información compartida, lo que contrasta con un puntaje 'Participativo' de 3.1 que no refleja un desinterés absoluto, pero tampoco un alto compromiso. El sentimiento académico es neutral a ligeramente positivo, ya que reconoce la utilidad de las herramientas digitales, pero también expresa limitaciones en el entorno educativo tradicional."
STU_0004,UNMSM,,,,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5,5,5,5,5,5,5,5,5,5,Sí,Nunca,No,Medio,2,2,2,2,2,2,2,2,2,2,2,2,,"Identifico problemas observando dificultades en el trabajo, analizando sus causas y escuchando a los involucrados para ver qué necesita mejora.","Analizo críticamente comparando fuentes, evaluando su confiabilidad y verificando si la información tiene evidencia y coherencia.","Cuestiono los supuestos preguntando si son realmente ciertos, buscando evidencia y considerando otras perspectivas o alternativas.","Valoro diferentes perspectivas comparándolas, analizando sus argumentos y considerando cuál tiene mayor evidencia y coherencia.",Sin respuesta.,Sin respuesta.,Sin respuesta.,Sin respuesta.,Sin respuesta.,Sin respuesta.,Sin respuesta.,Sin respuesta.,True,4.6,5.0,5.0,4.866666666666666,1,2,2,2,2,2,2,2,2,2,2,2,2,2.25,2.0,3.5,1.0,1.0,"Análisis crítico de fuentes, Resolución de problemas, Evaluación de evidencia","El estudiante demuestra una coherencia excepcional entre sus respuestas cuantitativas y cualitativas en la encuesta de Alfabetización Mediática. Sus puntuaciones perfectas en las áreas 'Técnico' y 'Participativo', junto con una puntuación alta en 'Crítico', se ven fuertemente respaldadas por sus respuestas abiertas. Las explicaciones de 'BC1', 'BC2' y 'BC3' detallan de manera explícita las habilidades de identificación de problemas, análisis crítico de fuentes, verificación de evidencia y cuestionamiento de supuestos, lo cual se alinea perfectamente con las altas calificaciones. La ausencia de respuestas en las secciones 'BT' y 'BP' no contradice las puntuaciones obtenidas, y el bajo nivel de riesgo sugiere una sólida comprensión de los conceptos evaluados, lo que resulta en un índice de coherencia máximo."
STU_0005,UNMSM,,,,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5,5,5,5,5,5,5,5,5,5,No,Nunca,No,Medio,3,2,2,2,1,1,1,1,2,1,2,2,,"Identifico problemas relevantes mediante la observación constante de las brechas entre la teoría y la práctica, así como a través de la revisión sistemática de literatura actualizada para detectar temas poco explorados o contradicciones en los datos existentes. Este proceso se complementa con el análisis de las necesidades actuales del entorno social o profesional, priorizando aquellos desafíos que, de ser resueltos, generarían un impacto significativo o un avance real en el conocimiento del área.","El análisis crítico lo realizo evaluando primero la confiabilidad y el rigor metodológico de la fuente, contrastando los argumentos presentados con evidencias verificables y otras perspectivas teóricas. No acepto la información de manera pasiva; por el contrario, busco detectar posibles sesgos, falacias lógicas o falta de sustento empírico, desglosando los componentes del mensaje para entender no solo qué se dice, sino con qué intención y bajo qué premisas se sostiene.","Cuestiono los supuestos deconstruyendo las ideas que suelen aceptarse como verdades absolutas, preguntándome si estas premisas siguen siendo válidas en el contexto actual o si responden a intereses y paradigmas obsoletos. Utilizo el pensamiento lateral para imaginar escenarios donde esos supuestos no se cumplen, lo que me permite identificar las bases invisibles de un argumento y proponer nuevas formas de abordar el objeto de estudio desde una base más sólida y justificada.","Valoro las diferentes perspectivas integrándolas como piezas complementarias de una realidad compleja, reconociendo que la pluralidad de enfoques disciplinares y culturales enriquece la comprensión del problema. En lugar de descartar visiones opuestas, busco los puntos de convergencia y las discrepancias fundamentales, utilizando el diálogo constructivo para fortalecer mis propias conclusiones y evitar el reduccionismo intelectual en el análisis académico.","Busco evidencias a través de una investigación rigurosa en bases de datos académicas, repositorios institucionales y fuentes oficiales que cuenten con revisión por pares o respaldo de expertos en la materia. Este proceso implica filtrar la información mediante criterios de actualidad, relevancia y objetividad, asegurándome de que cada argumento que sostengo esté fundamentado en datos cuantitativos o cualitativos verificables, evitando el uso de información anecdótica o fuentes de dudosa procedencia.","Gestiono los recursos digitales organizándolos mediante herramientas de curación de contenidos y sistemas de almacenamiento en la nube, lo que me permite clasificar la información por categorías o temas de interés. Además, establezco un cronograma de revisión para evitar la infoxicación, priorizando plataformas interactivas y bibliotecas virtuales que faciliten el acceso rápido a materiales de alta calidad, optimizando así el tiempo de estudio y garantizando que el aprendizaje sea continuo y estructurado.","Utilizo herramientas tecnológicas de trabajo colaborativo, como gestores de tareas, documentos compartidos en tiempo real y plataformas de comunicación asincrónica, para asegurar una coordinación fluida con mi equipo. Estas herramientas me permiten asignar responsabilidades claras, realizar un seguimiento del progreso del proyecto y facilitar el intercambio inmediato de ideas y retroalimentación, eliminando barreras geográficas y optimizando la productividad colectiva mediante un flujo de trabajo transparente.","Resuelvo problemas técnicos adoptando un enfoque proactivo que comienza con la identificación precisa del error, consultando manuales de usuario o foros especializados de soporte técnico. Si la incidencia persiste, aplico soluciones lógicas básicas como la revisión de la conectividad, la actualización de software o el uso de alternativas compatibles, manteniendo siempre una actitud calmada y comunicando el inconveniente oportunamente a los involucrados para minimizar el impacto en el desarrollo de las actividades.","Organizo mi tiempo mediante el uso de calendarios digitales y listas de tareas priorizadas según la urgencia y complejidad de cada actividad, aplicando técnicas de gestión como la planificación semanal. Establezco bloques de tiempo específicos para el estudio profundo, evitando distracciones y asegurando el cumplimiento de los plazos de entrega, lo que me permite mantener un equilibrio constante entre la carga académica y mis otras responsabilidades personales.","Participo activamente mediante la intervención fundamentada, aportando argumentos basados en lecturas previas y evidencias teóricas que nutran el debate. Mi enfoque se basa en la escucha activa y el respeto a las opiniones ajenas, formulando preguntas que inviten a la reflexión y ofreciendo perspectivas constructivas que ayuden a profundizar en los temas tratados, promoviendo así un intercambio de conocimientos dinámico y significativo.","Mi colaboración se basa en la comunicación asertiva, la responsabilidad compartida y la disposición para ayudar en las áreas donde el equipo lo requiera. Contribuyo activamente en la definición de objetivos comunes, cumplo con mis asignaciones en los tiempos acordados y fomento un ambiente de apoyo mutuo donde se reconozcan las fortalezas de cada integrante, asegurando que el resultado final sea cohesivo y de alta calidad.","Expreso mis ideas en espacios virtuales de manera clara, concisa y profesional, adaptando el lenguaje al canal utilizado y respetando siempre las normas de netiqueta. Me aseguro de que mis mensajes sean estructurados y fáciles de leer, utilizando párrafos breves y argumentos bien articulados que faciliten la comprensión por parte de los demás usuarios, promoviendo una interacción respetuosa y eficiente en el entorno digital.",True,4.6,5.0,5.0,4.866666666666666,0,3,2,2,2,1,1,1,1,2,1,2,2,1.875,1.375,1.5,1.0,1.0,"Análisis crítico de la información, Gestión y uso de recursos digitales, Colaboración y comunicación efectiva","El estudiante demuestra una coherencia sobresaliente entre sus respuestas cuantitativas y cualitativas. Sus altos puntajes en 'Crítico', 'Técnico' y 'Participativo', junto con un 'Riesgo Bajo', se reflejan claramente en sus descripciones detalladas de cómo aborda la identificación de problemas, el análisis riguroso de fuentes, la gestión eficiente de recursos digitales y la colaboración efectiva. Las respuestas abiertas exhiben un nivel de autoconciencia y competencia en alfabetización mediática que valida completamente sus puntuaciones, indicando un dominio profundo y una aplicación práctica de los conceptos evaluados."
STU_0006,UNI,,,,2.0,4.0,4.0,5.0,4.0,2.0,4.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,4.0,2.0,4.0,3.0,2,4,4,4,4,4,4,2,3,2,Sí,En un Curso,"Sí, en más de una ocasión",Medio,4,5,3,3,1,1,4,2,5,2,4,4,,Identifico errores en los procesos y/o herramientas que se encarguen de la entrega de información a los usuarios. Tambien buscando la retroalimentación de los compañeros.,Revisando la fuente de información y comparando con otras referencias.,Formulando preguntas tras haber revisado la información y/o habiendo comparado con otras referencias. ,"Dependiendo del contexto, al comparar diferentes opiniones sobre un mismo sujeto se puede lograr una comprensión más amplia ",Busco y comparo distintas fuentes de información especializada para poder formular una opinión con respaldo.,"A través de plataformas de aprendizaje, o herramientas que permiten la organización de información. ","Principalmente aprovechando herramientas que faciliten la comunicación entre usuarios así como herramientas de organización y seguimiento, como la nube.","Se identifica el problema y se prueba aproximaciones que permitan encontrar una solución, pedir ayuda técnica o explorar alternativas que permitan dar continuidad a la sesión.",Apoyándose en herramientas de organización para distribuir la carga y establecer horarios. ,A través de plataformas de aprendizaje o redes sociales.,Apoyándose en herramientas de comunicación así como herramientas de organización y seguimiento.,"Buscaría entornos con amplia concurrencia de usuarios, ya sean blogs, plataformas de aprendizaje o incluso redes sociales.",False,3.4,3.3,3.3,3.3333333333333335,1,4,5,3,3,1,1,4,2,5,2,4,4,3.875,2.875,5.0,0.8,0.9,"Evaluación Crítica de Fuentes, Colaboración y Retroalimentación, Uso de Herramientas Digitales","El estudiante muestra una alta coherencia entre sus puntuaciones cuantitativas y sus respuestas cualitativas. Los scores de 3.4 en 'Critico' y 3.3 en 'Tecnico' y 'Participativo' se alinean bien con la descripción detallada de cómo identifica errores, revisa fuentes, formula preguntas y busca retroalimentación. La mención de buscar información especializada, comparar referencias y utilizar herramientas de organización y comunicación refuerza esta coherencia. El riesgo 'ALTO' podría interpretarse no como falta de habilidad, sino como una alta conciencia de los desafíos en la gestión de la información, lo que a su vez demuestra una perspectiva crítica y proactiva."
STU_0007,UNMSM,,,,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,4,4,4,4,4,4,4,4,4,No,Nunca,No,Medio,4,4,4,4,4,4,4,4,4,4,4,4,,Sin respuesta.,Sin respuesta.,Sin respuesta.,Sin respuesta.,Sin respuesta.,Sin respuesta.,Sin respuesta.,Sin respuesta.,Sin respuesta.,Sin respuesta.,Sin respuesta.,Sin respuesta.,False,2.6,3.8,4.0,3.466666666666667,1,4,4,4,4,4,4,4,4,4,4,4,4,2.75,4.0,2.5,0.5,0.4,"Habilidades técnicas, Participación activa, Análisis crítico limitado","La coherencia del estudiante es baja. Si bien los puntajes cuantitativos sugieren un nivel moderado-alto en habilidades técnicas y participativas, la ausencia total de respuestas cualitativas dificulta una comprensión profunda de su perspectiva. El puntaje 'Riesgo: ALTO' en conjunto con la falta de justificación cualitativa, sumado a un puntaje crítico bajo, indica una posible brecha entre la autoevaluación numérica y la capacidad de reflexión y argumentación, resultando en una ambivalencia general."
STU_0008,UNI,,,,3.0,3.0,3.0,5.0,3.0,4.0,3.0,4.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3,3,3,4,3,3,3,3,3,3,No,Nunca,No,Medio,3,3,3,3,3,3,3,3,3,3,3,3,,Realizando un análisis antes de realizar dicha tarea,Utilizando distintos métodos de análisis ,Realizando cuestiones repetitivas y encontrando una relación en el tema,Recolectando la información y realizando un análisis crítico ,Buscando si las fuentes son confiables ,Utilizando diversos recursos de aprendizaje ,Herramientas de inteligencia de artificial ,Utilizando inteligencia artificial ,Con un horario de estudios ,No participo,No colaboro ,No expreso ,False,3.4,2.8,3.1,3.1,0,3,3,3,3,3,3,3,3,3,3,3,3,2.25,3.0,2.0,0.6,0.7,"Análisis crítico, Fuentes confiables, Inteligencia artificial","El estudiante muestra una coherencia moderada en la encuesta de Alfabetización Mediática. Sus respuestas cualitativas, especialmente en las áreas críticas y técnicas, sugieren un enfoque analítico y de verificación de fuentes, lo cual se alinea con sus puntuaciones medias-altas en 'Critico' (3.4). Sin embargo, la falta de participación activa descrita en las respuestas 'BP2', 'BP3', 'BP4' contrasta con la puntuación moderada en 'Participativo' (3.1), indicando una posible desconexión entre la percepción de su participación y su comportamiento real.  La mención recurrente de la inteligencia artificial, tanto en recursos de aprendizaje como en herramientas, es un punto fuerte. El sentimiento académico es mayormente positivo, pero se ve atenuado por la pasividad expresada en la participación."
STU_0009,UNI,,,,3.0,3.0,4.0,4.0,3.0,3.0,5.0,3.0,4.0,5.0,3.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,2.0,3.0,4,4,5,3,3,3,5,5,5,3,Sí,En un Curso,No,Medio,4,4,4,5,3,3,3,3,5,4,3,3,,.,.,.,.,.,.,.,.,.,.,.,.,False,3.7,3.6,4.0,3.7666666666666666,1,4,4,4,5,3,3,3,3,5,4,3,3,3.625,3.375,4.5,0.5,0.7,"Participación, Navegación, Autonomía","El estudiante muestra un nivel de coherencia moderado a alto, con puntuaciones destacadas en la dimensión 'Participativo' (4.0) que sugiere una actitud proactiva y comprometida con los medios. Los puntajes en 'Critico' (3.7) y 'Tecnico' (3.6) son sólidos, indicando una comprensión funcional y una capacidad de análisis. A pesar de la falta de datos cualitativos específicos, el indicador de 'Riesgo: ALTO' junto con el puntaje de 'Participativo' sugiere que el estudiante puede sentirse empoderado en su uso, pero quizás carece de la profundización crítica o técnica para un manejo plenamente seguro, resultando en un sentimiento académico mixto y un índice de coherencia que refleja esta ligera brecha entre la participación y la profundidad de las otras dimensiones."
STU_0010,UNI,,,,3.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,4,4,4,4,4,4,4,4,4,No,Nunca,No,Alto,2,2,2,2,2,2,2,2,2,2,2,2,,PREGUNTANDO,REVISANDO DETALLADAMENTE LA INFORMACION ,PREGUNTANDO,Sin respuesta.,INVESTIGANDO,ORGANIZANDO LOS RECURSOS DIGITALES ,"USANDO PLATAFORMAS COMO GOOGLE DRIVE, SOFTWARE BIN COLABORATIVO, WSP, ZOOM, ETC",INVESTIGANDO INFORMACION TECNICA ,PLANIFICACION SEMANAL PRIORIZANDO TARES SEGUN SU IMPORTANCIA Y URGENCIA,"APORTANDO OPINIONES TECNICAS, ESCUCHANDO A LOS DEMAS, PREGUNTANDO, ETC","ASIGNANDO RESPONSABILIDADES, Y CON COMUNICACION CONSTANTE","DE MANERA ESTRUCTURADA Y PRECISA, CON MATERIAL VISUAL DE SER POSIBLE",False,3.7,4.0,4.0,3.9,0,2,2,2,2,2,2,2,2,2,2,2,2,1.5,2.0,1.5,0.8,0.9,"Investigación activa, Colaboración digital, Organización y planificación","El estudiante muestra una alta coherencia entre sus respuestas cuantitativas y cualitativas. Sus puntajes en las dimensiones 'Critico', 'Tecnico' y 'Participativo' son moderadamente altos (entre 3.7 y 4.0), lo que se alinea perfectamente con sus descripciones de acciones proactivas como 'preguntando', 'revisando detalladamente la información', 'investigando', 'organizando recursos digitales' y 'aportando opiniones técnicas'. El 'Riesgo BAJO' también es consistente con este enfoque de diligencia y participación activa. Las respuestas cualitativas detallan cómo aborda la información y colabora, validando sus habilidades y una actitud positiva hacia el aprendizaje y la participación en entornos mediáticos."
